[Rules.Rule-1].Name;Максимальная децентрализация
[StoryEvents.Event-1].Name;Появление Дегтярёва
[StoryEvents.Event-1].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-1].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-2].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-2].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-2].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-3].Name;Дегтярёв встретился с Ковальским
[StoryEvents.Event-3].Desc-Owner;Дегтярёв теперь доступен как кандидат в заместители
[StoryEvents.Event-3].Desc-NonOwner;Если ты это видишь, то это баг ивента
[StoryEvents.Event-4].Name;Дегтярёв продолжает идти
[StoryEvents.Event-4].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-4].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-5].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-5].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-5].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-6].Name;Дегтярёв продолжает идти
[StoryEvents.Event-6].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-6].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-7].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-7].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-7].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-8].Name;Потеря связи с разведотрядом
[StoryEvents.Event-8].Desc-Owner;Капитан Клименко, сержант Островский, сержант Валюшок и лейтенант Сергеев перестали выходить на связь
[StoryEvents.Event-8].Desc-NonOwner;Если видно этот текст, то это баг ивента
[StoryEvents.Event-9].Name;Потеря связи с разведотрядом 2
[StoryEvents.Event-9].Desc-Owner;Если видно этот текст, то это баг ивента
[StoryEvents.Event-9].Desc-NonOwner;Если видно этот текст, то это баг ивента
[StoryEvents.Event-10].Name;Потеря связи с разведотрядом 3
[StoryEvents.Event-10].Desc-Owner;Если видно этот текст, то это баг ивента
[StoryEvents.Event-10].Desc-NonOwner;Если видно этот текст, то это баг ивента
[StoryEvents.Event-11].Name;Потеря связи с разведотрядом 4
[StoryEvents.Event-11].Desc-Owner;Если видно этот текст, то это баг ивента
[StoryEvents.Event-11].Desc-NonOwner;Если видно этот текст, то это баг ивента
[StoryEvents.Event-12].Name;Дегтярёв продолжает идти
[StoryEvents.Event-12].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-12].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-13].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-13].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-13].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-14].Name;Дегтярёв продолжает идти
[StoryEvents.Event-14].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-14].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-15].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-15].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-15].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-16].Name;Дегтярёв продолжает идти
[StoryEvents.Event-16].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-16].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-17].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-17].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-17].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-18].Name;Дегтярёв продолжает идти
[StoryEvents.Event-18].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-18].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-19].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-19].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-19].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-20].Name;Пси излучение в Магазин Книги
[StoryEvents.Event-20].Desc-Owner;Дегтярёв уничтожил портативную Пси-установку на территории %0:s локации %1:s и пси излучения там больше нет!
[StoryEvents.Event-20].Desc-NonOwner;Ходят слухи, что Дегтярёв уничтожил портативную Пси-установку на территории %0:s локации %1:s и пси излучения там больше нет!
[StoryEvents.Event-21].Name;Дегтярёв продолжает идти
[StoryEvents.Event-21].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-21].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-22].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-22].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-22].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-23].Name;Дегтярёв продолжает идти
[StoryEvents.Event-23].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-23].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-24].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-24].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-24].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-25].Name;Дегтярёв снова в Припяти
[StoryEvents.Event-25].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-25].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-26].Name;Дегтярёв снова напал на гарнизон территории
[StoryEvents.Event-26].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-26].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-27].Name;Дегтярёв продолжает идти
[StoryEvents.Event-27].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-27].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-28].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-28].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-28].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-29].Name;Дегтярёв продолжает идти
[StoryEvents.Event-29].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-29].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-30].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-30].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-30].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-31].Name;Дегтярёв продолжает идти
[StoryEvents.Event-31].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-31].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-32].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-32].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-32].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-33].Name;Дегтярёв продолжает идти
[StoryEvents.Event-33].Desc-Owner;в Лаборатории X-8 замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-33].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен в Лаборатории X-8.
[StoryEvents.Event-34].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-34].Desc-Owner;Вот черт! Какой-то сталкер развязал бой в Лаборатории X-8! Наши потери:
[StoryEvents.Event-34].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой в Лаборатории X-8.
[StoryEvents.Event-35].Name;Потеря связи с разведотрядом
[StoryEvents.Event-35].Desc-Owner;Лейтенант Скеля, сержант Ярмошук, сержант Меркулов перестали выходить на связь
[StoryEvents.Event-35].Desc-NonOwner;Если видно этот текст, то это баг ивента
[StoryEvents.Event-36].Name;Потеря связи с разведотрядом 2
[StoryEvents.Event-36].Desc-Owner;Если видно этот текст, то это баг ивента
[StoryEvents.Event-36].Desc-NonOwner;Если видно этот текст, то это баг ивента
[StoryEvents.Event-37].Name;Потеря связи с разведотрядом 2
[StoryEvents.Event-37].Desc-Owner;Если видно этот текст, то это баг ивента
[StoryEvents.Event-37].Desc-NonOwner;Если видно этот текст, то это баг ивента
[StoryEvents.Event-38].Name;Дегтярёв продолжает идти
[StoryEvents.Event-38].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-38].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-39].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-39].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-39].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-40].Name;Дегтярёв продолжает идти
[StoryEvents.Event-40].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-40].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-41].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-41].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-41].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-42].Name;Дегтярёв продолжает идти
[StoryEvents.Event-42].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-42].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-43].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-43].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-43].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-44].Name;Погиб часовой
[StoryEvents.Event-44].Desc-Owner;Лейтенант Стеценко погиб!
[StoryEvents.Event-44].Desc-NonOwner;Если Вы это видите, то это баг ивента!
[StoryEvents.Event-45].Name;Дегтярёв продолжает идти
[StoryEvents.Event-45].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-45].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-46].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-46].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-46].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-47].Name;Дегтярёв продолжает идти
[StoryEvents.Event-47].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-47].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-48].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-48].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-48].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-49].Name;Дегтярёв продолжает идти
[StoryEvents.Event-49].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-49].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-50].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-50].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-50].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-51].Name;Дегтярёв продолжает идти
[StoryEvents.Event-51].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-51].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-52].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-52].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-52].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-53].Name;Дегтярёв продолжает идти
[StoryEvents.Event-53].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-53].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-54].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-54].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-54].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-55].Name;Дегтярёв продолжает идти
[StoryEvents.Event-55].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-55].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-56].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-56].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-56].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-57].Name;Дегтярёв продолжает идти
[StoryEvents.Event-57].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-57].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-58].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-58].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-58].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-59].Name;Пси излучение в Детском саду
[StoryEvents.Event-59].Desc-Owner;Дегтярёв уничтожил портативную Пси-установку на территории %0:s локации %1:s и пси излучения там больше нет!
[StoryEvents.Event-59].Desc-NonOwner;Ходят слухи, что Дегтярёв уничтожил портативную Пси-установку на территории %0:s локации %1:s и пси излучения там больше нет!
[StoryEvents.Event-60].Name;Дегтярёв продолжает идти
[StoryEvents.Event-60].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-60].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-61].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-61].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-61].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-62].Name;Дегтярёв продолжает идти
[StoryEvents.Event-62].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-62].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-63].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-63].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-63].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-64].Name;Дегтярёв продолжает идти
[StoryEvents.Event-64].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-64].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-65].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-65].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-65].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-66].Name;Дегтярёв продолжает идти
[StoryEvents.Event-66].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-66].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-67].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-67].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-67].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-68].Name;Дегтярёв продолжает идти
[StoryEvents.Event-68].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-68].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-69].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-69].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-69].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-70].Name;Дегтярёв продолжает идти
[StoryEvents.Event-70].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-70].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-71].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-71].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-71].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-72].Name;Дегтярёв продолжает идти
[StoryEvents.Event-72].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-72].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-73].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-73].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-73].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-74].Name;Дегтярёв продолжает идти
[StoryEvents.Event-74].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-74].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-75].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-75].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-75].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-76].Name;Дегтярёв продолжает идти
