[Territories.Name].Zona1;Station Backlots
[Territories.Name].Zona76;Passage to the Bar
[Territories.Name].Zona77;Western Checkpoint
[Territories.Name].Zona78;Abandoned Hangars
[Territories.Name].Zona79;Duty Base
[Territories.Name].Zona80;Campfires
[Territories.Name].Zona81;Depot
[Territories.Name].Zona82;Ruined Building
[Territories.Name].Zona83;Entrance with Arena
[Territories.Name].Zona84;Construction Site
[Territories.Name].Zona85;100 Rads Bar
[Territories.Name].Zona86;Abandoned Wagon
[Territories.Name].Zona87;Southern Checkpoint
[Territories.Name].Zona88;Northeastern Section
[Territories.Name].Zona89;Backyard
[Territories.Name].Zona90;Tunnel with Burners
[Territories.Name].Zona91;Passage to the Dump
[Territories.Name].Zona92;Plant Yard
[Territories.Name].Zona93;Road to Yantar
[Territories.Name].Zona94;Laboratory
[Territories.Name].Zona95;Plant Entrance
[Territories.Name].Zona96;Outskirts
[Territories.Name].Zona97;Hangar
[Territories.Name].Zona98;Rusty Bus
[Territories.Name].Zona99;Northern Outskirts
[Territories.Name].Zona100;Northeastern Outskirts
[Territories.Name].Zona101;Approaches to Plant
[Territories.Name].Zona102;Tunnels Under the Plant
[Territories.Name].Zona103;Northwestern Outskirts
[Territories.Name].Zona104;Road to Wild Territory
[Territories.Name].Zona105;Southwestern Outskirts
[Territories.Name].Zona106;The Swamp
[Territories.Name].Zona107;Approaches to Bunker
[Territories.Name].Zona108;Bunker
[Territories.Name].Zona109;Hangar
[Territories.Name].Zona110;Western Checkpoint
[Territories.Name].Zona111;Gas Station
[Territories.Name].Zona112;Complex
[Territories.Name].Zona113;Eastern Gully
[Territories.Name].Zona114;Western Gully
[Territories.Name].Zona115;Northern Checkpoint
[Territories.Name].Zona116;Passage to the Dump
[Territories.Name].Zona117;Northwestern Outskirts
[Territories.Name].Zona118;Northern Ravine
[Territories.Name].Zona119;Old Factory
[Territories.Name].Zona120;The Swamp
[Territories.Name].Zona121;Flea Market
[Territories.Name].Zona122;Northern Outskirts
[Territories.Name].Zona123;Passage to Dark Valley
[Territories.Name].Zona124;Lowland
[Territories.Name].Zona125;The Pipes
[Territories.Name].Zona126;Northern Outskirts
[Territories.Name].Zona127;Northeastern Outskirts
[Territories.Name].Zona128;Laboratory
[Territories.Name].Zona129;Northwestern Outskirts
[Territories.Name].Zona130;Approaches to Farm
[Territories.Name].Zona131;Northern Wasteland
[Territories.Name].Zona132;Eastern Outskirts
[Territories.Name].Zona133;Northern Plateau
[Territories.Name].Zona134;Bus Stop
[Territories.Name].Zona135;The Swamp
[Territories.Name].Zona136;Northeastern Plateau Section
[Territories.Name].Zona137;Tunnel Exit
[Territories.Name].Zona138;Tunnel
[Territories.Name].Zona139;Depot
[Territories.Name].Zona140;Passage to Agroprom
[Territories.Name].Zona141;Northern Approach to Complex
[Territories.Name].Zona142;Eastern Camp
[Territories.Name].Zona143;Plateau by the Swamp
[Territories.Name].Zona144;Dead Camp
[Territories.Name].Zona145;Approaches to Depot
[Territories.Name].Zona146;Southern Outskirts
[Territories.Name].Zona147;Complex
[Territories.Name].Zona148;Grimpen Mire
[Territories.Name].Zona149;Road to the Dump
[Territories.Name].Zona150;Fork
[Territories.Name].Zona151;Abandoned Camp
[Territories.Name].Zona152;Upper Road
[Territories.Name].Zona153;Old Trail
[Territories.Name].Zona154;Underground
[Territories.Name].Zona155;Abandoned Vehicles
[Territories.Name].Zona156;Southern Outskirts
[Territories.Name].Zona157;Eastern Outskirts
[Territories.Name].Zona158;Lower Road
[Territories.Name].Zona159;Central Plateau
[Territories.Name].Zona160;Northern Entrance
[Territories.Name].Zona161;Farm
[Territories.Name].Zona162;Passage to Cordon
[Territories.Name].Zona163;Southern Hills
[Territories.Name].Zona164;Hangars
[Territories.Name].Zona165;Abandoned Helicopter
[Territories.Name].Zona166;Military Base
[Territories.Name].Zona167;Southern Outskirts
[Territories.Name].Zona168;Old Road
[Territories.Name].Zona169;North Checkpoint
[Territories.Name].Zona170;Old Trail
[Territories.Name].Zona171;Overturned Truck
[Territories.Name].Zona172;Small Clearing
[Territories.Name].Zona173;Farmstead
[Territories.Name].Zona174;Far Embankment Crossing
[Territories.Name].Zona175;Forgotten Trail
[Territories.Name].Zona176;Farm
[Territories.Name].Zona177;Northern Hills
[Territories.Name].Zona178;Abandoned Train
[Territories.Name].Zona179;Tunnel Under Embankment
[Territories.Name].Zona180;Ruined Bridge
[Territories.Name].Zona181;Southern Hills
[Territories.Name].Zona182;Grain Elevator
[Territories.Name].Zona183;Campfire in the Lowland
[Territories.Name].Zona184;Western Hills
[Territories.Name].Zona185;Eastern Road
[Territories.Name].Zona186;Motor Pool
[Territories.Name].Zona187;Tunnel
[Territories.Name].Zona188;The Dump
[Territories.Name].Zona189;Trailer by the Bridge
[Territories.Name].Zona190;Eastern Hills
[Territories.Name].Zona191;Village
[Territories.Name].Zona192;Eastern Lowland
[Territories.Name].Zona193;Western Lowland
[Territories.Name].Zona194;South Checkpoint
