[Common_Strings].StoryEventsLevelText;Reinforcements for the Monolith:
[StoryEvents.Event-Boost-AddUnit-4].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-AddUnit-4.
[StoryEvents.Event-Boost-AddUnit-5].Name;Reinforcements Arrived!
[StoryEvents.Event-Boost-AddUnit-5].Desc-Owner;Reinforcements have arrived at territory %0:s at location %1:s!
[StoryEvents.Event-Boost-AddUnit-5].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-AddUnit-5.
[StoryEvents.Event-Boost-AddUnit-6].Name;Reinforcements Arrived!
[StoryEvents.Event-Boost-AddUnit-6].Desc-Owner;Reinforcements have arrived at territory %0:s at location %1:s!
[StoryEvents.Event-Boost-AddUnit-6].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-AddUnit-6.
[StoryEvents.Event-Boost-AddUnit-7].Name;Reinforcements Arrived!
[StoryEvents.Event-Boost-AddUnit-7].Desc-Owner;Reinforcements have arrived at territory %0:s at location %1:s!
[StoryEvents.Event-Boost-AddUnit-7].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-AddUnit-7.
[StoryEvents.Event-Boost-AddUnit-8].Name;Reinforcements Arrived!
[StoryEvents.Event-Boost-AddUnit-8].Desc-Owner;Reinforcements have arrived at territory %0:s at location %1:s!
[StoryEvents.Event-Boost-AddUnit-8].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-AddUnit-8.
ScenarioName;Free Play. Shadow of Chernobyl
ScenarioDescription;Free Play mode is a copy of the story mode but with the storyline disabled. There are no time limits. Victory is achieved by capturing the entire Zone; defeat occurs upon losing your last territory. Diplomacy between factions may diverge from canon during gameplay.
