[SpecialEvents.Burst].Name;Emission!
[Advisors.Advisor-Monolith-Molitvennik].Name;Devotee
[Advisors.Advisor-Monolith-Messiya].Name;Messiah
[Advisors.Advisor-Mercenaries-Ara].Name;Ara
[Advisors.Advisor-Mercenaries-Tancpol].Name;Vitya Dancefloor
[Advisors.Advisor-Mercenaries-Avtobus].Name;Lyokha Bus
[Advisors.Advisor-Mercenaries-Rzhaviy].Name;Valera Rusty
[Advisors.Advisor-Mercenaries-Shtirlic].Name;Tolyan Stirlitz
[Advisors.Advisor-Mercenaries-Dollar].Name;Ivan «One Dollar»
[Advisors.Advisor-Mercenaries-Plintus].Name;Timur Plintus
[Advisors.Advisor-Scientists-Kruglov].Name;Professor Kruglov
[Advisors.Advisor-Scientists-Nachalnik].Name;Head of security
[Advisors.Advisor-Scientists-Semenov].Name;Semenov
[Advisors.Advisor-Scientists-Zob].Name;Zob
[Advisors.Advisor-Zombie-Kontroler].Name;Controller
[Achievements.Achiv-1].Name;The Wish Granter!
[Achievements.Achiv-1].Desc;New achievement unlocked! Capture the Sarcophagus as any faction except Monolith or Mutants, and hold it for 1 turn.
[Achievements.Achiv-1].Desc-Logo;Capture the Sarcophagus as any faction except Monolith or Mutants, and hold it for 1 turn.
[Achievements.Achiv-2].Name;King of the Zone!
[Achievements.Achiv-2].Desc;New achievement unlocked! Capture the entire Zone playing as the Bandits faction.
[Achievements.Achiv-2].Desc-Logo;Capture the entire Zone playing as the Bandits faction.
[Achievements.Achiv-3].Name;I Am Legend!
[Achievements.Achiv-3].Desc;New achievement unlocked! Complete the scenario on Master difficulty.
[Achievements.Achiv-3].Desc-Logo;Complete the scenario on Master difficulty.
[Achievements.Achiv-4].Name;Contract Fulfilled!
[Achievements.Achiv-4].Desc;New achievement unlocked! Capture the entire Zone playing as the Mercenaries faction.
[Achievements.Achiv-4].Desc-Logo;Capture the entire Zone playing as the Mercenaries faction.
[Achievements.Achiv-5].Name;Criminal Sect!
[Achievements.Achiv-5].Desc;New achievement unlocked! Adopt the Sectarianism ideology playing as the Bandits faction and survive for 1 turn.
[Achievements.Achiv-5].Desc-Logo;Adopt the Sectarianism ideology playing as the Bandits faction and survive for 1 turn.
[Achievements.Achiv-6].Name;Echo of the Swamps
[Achievements.Achiv-6].Desc;New achievement unlocked! Adopt the Stability ideology playing as the Military faction on Master difficulty and survive for 1 turn.
[Achievements.Achiv-6].Desc-Logo;Adopt the Stability ideology playing as the Military faction on Master difficulty and survive for 1 turn.
[Traders.World].Name;Outside World
[Traders.World].NeedText;Contact with the Outside World cannot always be established. Chance: 50%. Cost per connection attempt:
[Traders.YourGroup].Name;Your Faction Trader
[Traders.YourGroup].NeedText;You can always trade with your faction trader. Cost:
[Traders.OtherGroup].Name;Enemy Faction Trader
[Traders.OtherGroup].NeedText;To trade with other factions, first select an enemy territory on the map.
[Traders.Trader1].Name;Sidorovich
[Traders.Trader1].NeedText;Trading with him is possible only if you control the Novice Village territory on the Cordon. Cost:
[Traders.Trader2].Name;Barman
[Traders.Trader2].NeedText;Barman will be available for trading only if you control the 100 Rads Bar territory. Cost:
[Traders.Trader3].Name;Sakharov
[Traders.Trader3].NeedText;Sakharov is available only if you control the Bunker territory on the Yantar location. Cost:
[StoryEvents.Event-Cordon-1].Name;The Marked One Appears
[StoryEvents.Event-Cordon-1].Desc-Owner;Stalker Wolf reports that a stalker nicknamed the Marked One has regained consciousness. He has now taken on a job for Sidorovich. Perhaps we will soon learn what's really going on...
[StoryEvents.Event-Cordon-1].Desc-NonOwner;Rumors speak of an unknown stalker appearing in the Zone, called the Marked One. They say he was found alive in a crashed Death Truck...
[StoryEvents.Event-Cordon-2].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Cordon-2].Desc-Owner;Damn it! Some stalker called the Marked One has started a fight on territory %0:s! Our casualties:
[StoryEvents.Event-Cordon-2].Desc-NonOwner;Rumors say that the stalker called the Marked One engaged in combat on territory %0:s.
[StoryEvents.Event-Cordon-3].Name;The Marked One is on the move
[StoryEvents.Event-Cordon-3].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Cordon-3].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-4].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Cordon-4].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon-4].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-5].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon-5].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Cordon-5].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-6].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Cordon-6].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon-6].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-7].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon-7].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Cordon-7].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-8].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Cordon-8].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon-8].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-ChangeOwner-1].Name;Territory Lost
[StoryEvents.Event-Cordon-ChangeOwner-1].Desc-Owner;We have lost control of territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-ChangeOwner-1].Desc-NonOwner;If you see this, it's a bug in event Event-Cordon-ChangeOwner-1.
[StoryEvents.Event-Cordon-Advisor-1].Name;Faster Rescued
[StoryEvents.Event-Cordon-Advisor-1].Desc-Owner;Faster is now available as a deputy candidate!
[StoryEvents.Event-Cordon-Advisor-1].Desc-NonOwner;If you see this, it's a bug in event Event-Cordon-Advisor-1.
[StoryEvents.Event-Cordon-ChangeOwner-2].Name;Territory Lost
[StoryEvents.Event-Cordon-ChangeOwner-2].Desc-Owner;If you see this, it's a bug in event Event-Cordon-ChangeOwner-2.
[StoryEvents.Event-Cordon-ChangeOwner-2].Desc-NonOwner;If you see this, it's a bug in event Event-Cordon-ChangeOwner-2.
[StoryEvents.Event-Cordon-9].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon-9].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Cordon-9].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-10].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Cordon-10].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon-10].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-11].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon-11].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Cordon-11].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-12].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Cordon-12].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon-12].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-13].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon-13].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Cordon-13].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-14].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Cordon-14].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon-14].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-15].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon-15].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Cordon-15].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-16].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Cordon-16].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon-16].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-17].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon-17].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Cordon-17].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-18].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Cordon-18].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon-18].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-19].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon-19].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Cordon-19].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-20].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Cordon-20].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon-20].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-21].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon-21].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Cordon-21].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-22].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Cordon-22].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon-22].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-ChangeOwner-3].Name;Territory Lost
[StoryEvents.Event-Cordon-ChangeOwner-3].Desc-Owner;We have lost control of territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-ChangeOwner-3].Desc-NonOwner;If you see this, it's a bug in event Event-Cordon-ChangeOwner-3.
[StoryEvents.Event-Cordon-Advisor-2].Name;Fox Rescued
[StoryEvents.Event-Cordon-Advisor-2].Desc-Owner;Fox is now available as a deputy candidate!
[StoryEvents.Event-Cordon-Advisor-2].Desc-NonOwner;If you see this, it's a bug in event Event-Cordon-Advisor-2.
[StoryEvents.Event-Cordon-23].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon-23].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Cordon-23].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-24].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Cordon-24].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon-24].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-25].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon-25].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Cordon-25].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon-26].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Cordon-26].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon-26].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-1].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-1].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Dump-1].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-2].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Dump-2].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-2].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-ChangeOwner-1].Name;Territory Lost
[StoryEvents.Event-Dump-ChangeOwner-1].Desc-Owner;We have lost control of territory %0:s at location %1:s.
[StoryEvents.Event-Dump-ChangeOwner-1].Desc-NonOwner;If you see this, it's a bug in event Event-Cordon-ChangeOwner-1.
[StoryEvents.Event-Dump-Advisor-1].Name;Yurik Rescued
[StoryEvents.Event-Dump-Advisor-1].Desc-Owner;Yurik is now available as a deputy candidate!
[StoryEvents.Event-Dump-Advisor-1].Desc-NonOwner;If you see this, it's a bug in event Event-Dump-Advisor-1.
[StoryEvents.Event-Dump-ChangeOwner-2].Name;Territory Lost
[StoryEvents.Event-Dump-ChangeOwner-2].Desc-Owner;If you see this, it's a bug in event Event-Cordon-ChangeOwner-2.
[StoryEvents.Event-Dump-ChangeOwner-2].Desc-NonOwner;If you see this, it's a bug in event Event-Cordon-ChangeOwner-2.
[StoryEvents.Event-Dump-AddUnit-1].Name;Technical Event
[StoryEvents.Event-Dump-AddUnit-1].Desc-Owner;If you see this, it's a bug in event Event-Dump-AddUnit-1.
[StoryEvents.Event-Dump-AddUnit-1].Desc-NonOwner;If you see this, it's a bug in event Event-Dump-AddUnit-1.
[StoryEvents.Event-Dump-3].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-3].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Dump-3].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-4].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Dump-4].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-4].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-Advisor-2].Name;Bes
[StoryEvents.Event-Dump-Advisor-2].Desc-Owner;Bes is now available as a deputy candidate!
[StoryEvents.Event-Dump-Advisor-2].Desc-NonOwner;If you see this, it's a bug in event Event-Dump-Advisor-2.
[StoryEvents.Event-Dump-5].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-5].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Dump-5].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-6].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Dump-6].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-6].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-7].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-7].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Dump-7].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-8].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Dump-8].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-8].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-9].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-9].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Dump-9].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-10].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Dump-10].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-10].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-Advisor-3].Name;Gray
[StoryEvents.Event-Dump-Advisor-3].Desc-Owner;Gray is now available as a deputy candidate!
[StoryEvents.Event-Dump-Advisor-3].Desc-NonOwner;If you see this, it's a bug in event Event-Dump-Advisor-3.
[StoryEvents.Event-Dump-11].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-11].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Dump-11].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-12].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Dump-12].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-12].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-13].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-13].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Dump-13].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-14].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Dump-14].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-14].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-1].Name;The Marked One continues his journey
[StoryEvents.Event-Agroprom-1].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Agroprom-1].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-2].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Agroprom-2].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Agroprom-2].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-Helicopter-1].Name;Helicopter Spotted
[StoryEvents.Event-Agroprom-Helicopter-1].Desc-Owner;A military helicopter has been spotted over location %1:s!
[StoryEvents.Event-Agroprom-Helicopter-1].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-3].Name;The Marked One continues his journey
[StoryEvents.Event-Agroprom-3].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Agroprom-3].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-4].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Agroprom-4].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Agroprom-4].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-SetFlag1-1].Name;Technical Event
[StoryEvents.Event-Agroprom-SetFlag1-1].Desc-Owner;If you see this, it's a bug in event Event-Agroprom-SetFlag1-1.
[StoryEvents.Event-Agroprom-SetFlag1-1].Desc-NonOwner;If you see this, it's a bug in event Event-Agroprom-SetFlag1-1.
[StoryEvents.Event-Agroprom-Helicopter-2].Name;Helicopter Attack
[StoryEvents.Event-Agroprom-Helicopter-2].Desc-Owner;Territory %0:s at location %1:s has been struck by a military helicopter! Presumably, we have suffered the following casualties:
[StoryEvents.Event-Agroprom-Helicopter-2].Desc-NonOwner;Territory %0:s at location %1:s has been struck by a military helicopter!
[StoryEvents.Event-Agroprom-Invasion-1].Name;Military Assault
[StoryEvents.Event-Agroprom-Invasion-1].Desc-Owner;Territory %0:s at location %1:s is being assaulted by a Military landing force!
[StoryEvents.Event-Agroprom-Invasion-1].Desc-NonOwner;We received intelligence that territory %0:s at location %1:s is being assaulted by a Military landing force!
[StoryEvents.Event-Agroprom-SetFlag1-2].Name;Technical Event
[StoryEvents.Event-Agroprom-SetFlag1-2].Desc-Owner;If you see this, it's a bug in event Event-Agroprom-SetFlag1-2.
[StoryEvents.Event-Agroprom-SetFlag1-2].Desc-NonOwner;If you see this, it's a bug in event Event-Agroprom-SetFlag1-2.
[StoryEvents.Event-Agroprom-5].Name;The Marked One continues his journey
[StoryEvents.Event-Agroprom-5].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Agroprom-5].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-6].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Agroprom-6].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Agroprom-6].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-Advisor-1].Name;Mole
[StoryEvents.Event-Agroprom-Advisor-1].Desc-Owner;Mole is now available as a deputy candidate!
[StoryEvents.Event-Agroprom-Advisor-1].Desc-NonOwner;If you see this, it's a bug in event Event-Agroprom-Advisor-1.
[StoryEvents.Event-Agroprom-7].Name;The Marked One continues his journey
[StoryEvents.Event-Agroprom-7].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Agroprom-7].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-8].Name;The Marked One Attacked the Territory Garrison
