[Rules.Rule-1].Name;Maximum decentralization
[Achievements.Achiv-2].Desc;New achievement unlocked! Capture the Eastern Pripyat location as the Military faction on Master difficulty.
[Achievements.Achiv-2].Desc-Logo;Capture the Eastern Pripyat location for the Military faction on Master difficulty.
[Achievements.Achiv-3].Name;Big wash!
[Achievements.Achiv-3].Desc;New achievement unlocked! Capture the Laundry area in the Eastern Pripyat location within 6 turns and hold it for 1 turn as the Monolith faction!
[Achievements.Achiv-3].Desc-Logo;Capture the Laundry area of ??the Eastern Pripyat location within 6 turns and hold it for 1 turn as the Monolith faction.
[Achievements.Achiv-4].Name;Back to school!
[Achievements.Achiv-4].Desc;New achievement unlocked! Capture School No. 1 in the Eastern Pripyat location within 2 turns and hold it for 1 turn as the Military faction on Veteran difficulty or higher.
[Achievements.Achiv-4].Desc-Logo;Capture the School No. 1 territory in the Eastern Pripyat location within 2 turns and hold it for 1 turn as the Military faction on Veteran difficulty or higher.
[Achievements.Achiv-5].Name;Pripyat Pirates!
[Achievements.Achiv-5].Desc;New achievement unlocked! Embrace the Criminal ideology for 20 turns as the Military faction on Veteran difficulty or higher and survive for 1 turn.
[Achievements.Achiv-5].Desc-Logo;Embrace the Criminal ideology for 20 turns as the Military faction on Veteran difficulty or higher and survive for 1 turn.
[Achievements.Achiv-6].Name;Dangerous experiment!
[Achievements.Achiv-6].Desc;New achievement unlocked! Embrace the Researching ideology for 20 turns as the Military faction on Experienced difficulty or higher and survive for 1 turn.
[Achievements.Achiv-6].Desc-Logo;Embrace the Researching ideology for 20 turns as the Military faction on Experienced difficulty or higher and survive for 1 turn.
[Traders.YourGroup].Name;Trader of your faction
[Traders.YourGroup].NeedText;You can always trade with your merchant. Price:
[Traders.OtherGroup].Name;Trader of another faction
[Traders.OtherGroup].NeedText;To trade with other factions, first select the other's territory on the map.
[StoryEvents.Event-1].Name;Degtyarev's appearance
[StoryEvents.Event-1].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-1].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-2].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-2].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-2].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-3].Name;Degtyarev met with Kovalsky
[StoryEvents.Event-3].Desc-Owner;Degtyarev is now available as a deputy candidate
[StoryEvents.Event-3].Desc-NonOwner;If you see this, it's an event bug.
[StoryEvents.Event-4].Name;Degtyarev continues to walk
[StoryEvents.Event-4].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-4].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-5].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-5].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-5].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-6].Name;Degtyarev continues to walk
[StoryEvents.Event-6].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-6].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-7].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-7].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-7].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-8].Name;Lost contact with the reconnaissance detachment
[StoryEvents.Event-8].Desc-Owner;Captain Klimenko, Sergeant Ostrovsky, Sergeant Valyushok and Lieutenant Sergeyev have stopped communicating.
[StoryEvents.Event-8].Desc-NonOwner;If you see this text, it's an event bug.
[StoryEvents.Event-9].Name;Lost contact with reconnaissance squad 2
[StoryEvents.Event-9].Desc-Owner;If you see this text, it's an event bug.
[StoryEvents.Event-9].Desc-NonOwner;If you see this text, it's an event bug.
[StoryEvents.Event-10].Name;Lost contact with reconnaissance squad 3
[StoryEvents.Event-10].Desc-Owner;If you see this text, it's an event bug.
[StoryEvents.Event-10].Desc-NonOwner;If you see this text, it's an event bug.
[StoryEvents.Event-11].Name;Lost contact with reconnaissance squad 4
[StoryEvents.Event-11].Desc-Owner;If you see this text, it's an event bug.
[StoryEvents.Event-11].Desc-NonOwner;If you see this text, it's an event bug.
[StoryEvents.Event-12].Name;Degtyarev continues to walk
[StoryEvents.Event-12].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-12].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-13].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-13].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-13].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-14].Name;Degtyarev continues to walk
[StoryEvents.Event-14].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-14].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-15].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-15].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-15].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-16].Name;Degtyarev continues to walk
[StoryEvents.Event-16].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-16].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-17].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-17].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-17].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-18].Name;Degtyarev continues to walk
[StoryEvents.Event-18].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-18].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-19].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-19].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-19].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-20].Name;Psi radiation in the Book Store
[StoryEvents.Event-20].Desc-Owner;Degtyarev destroyed the portable Psi-installation in the %0:s area of ??the %1:s location, and there is no more psi radiation there!
[StoryEvents.Event-20].Desc-NonOwner;Rumor has it that Degtyarev destroyed the portable Psi-installation in the %0:s area of ??the %1:s location and there is no more psi radiation there!
[StoryEvents.Event-21].Name;Degtyarev continues to walk
[StoryEvents.Event-21].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-21].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-22].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-22].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-22].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-23].Name;Degtyarev continues to walk
[StoryEvents.Event-23].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-23].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-24].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-24].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-24].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-25].Name;Degtyarev is back in Pripyat
[StoryEvents.Event-25].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-25].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-26].Name;Degtyarev attacked the garrison of the territory again
[StoryEvents.Event-26].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-26].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-27].Name;Degtyarev continues to walk
[StoryEvents.Event-27].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-27].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-28].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-28].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-28].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-29].Name;Degtyarev continues to walk
[StoryEvents.Event-29].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-29].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-30].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-30].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-30].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-31].Name;Degtyarev continues to walk
[StoryEvents.Event-31].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-31].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-32].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-32].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-32].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-33].Name;Degtyarev continues to walk
[StoryEvents.Event-33].Desc-Owner;The stalker Degtyarev was spotted in the X-8 Laboratory. Our garrison missed him.
[StoryEvents.Event-33].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the X-8 Laboratory.
[StoryEvents.Event-34].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-34].Desc-Owner;Damn it! Some stalker started a fight in Lab X-8! Our losses:
[StoryEvents.Event-34].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle at X-8 Lab.
[StoryEvents.Event-35].Name;Lost contact with the reconnaissance detachment
[StoryEvents.Event-35].Desc-Owner;Lieutenant Skelya, Sergeant Yarmoshuk, and Sergeant Merkulov have stopped communicating.
[StoryEvents.Event-35].Desc-NonOwner;If you see this text, it's an event bug.
[StoryEvents.Event-36].Name;Lost contact with reconnaissance squad 2
[StoryEvents.Event-36].Desc-Owner;If you see this text, it's an event bug.
[StoryEvents.Event-36].Desc-NonOwner;If you see this text, it's an event bug.
[StoryEvents.Event-37].Name;Lost contact with reconnaissance squad 2
[StoryEvents.Event-37].Desc-Owner;If you see this text, it's an event bug.
[StoryEvents.Event-37].Desc-NonOwner;If you see this text, it's an event bug.
[StoryEvents.Event-38].Name;Degtyarev continues to walk
[StoryEvents.Event-38].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-38].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-39].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-39].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-39].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-40].Name;Degtyarev continues to walk
[StoryEvents.Event-40].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-40].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-41].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-41].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-41].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-42].Name;Degtyarev continues to walk
[StoryEvents.Event-42].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-42].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-43].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-43].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-43].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-44].Name;A guard died
[StoryEvents.Event-44].Desc-Owner;Lieutenant Stetsenko died!
[StoryEvents.Event-44].Desc-NonOwner;If you see this, it's an event bug!
[StoryEvents.Event-45].Name;Degtyarev continues to walk
[StoryEvents.Event-45].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-45].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-46].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-46].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-46].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-47].Name;Degtyarev continues to walk
[StoryEvents.Event-47].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-47].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-48].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-48].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-48].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-49].Name;Degtyarev continues to walk
[StoryEvents.Event-49].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-49].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-50].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-50].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-50].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-51].Name;Degtyarev continues to walk
[StoryEvents.Event-51].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-51].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-52].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-52].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-52].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-53].Name;Degtyarev continues to walk
[StoryEvents.Event-53].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-53].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-54].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-54].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-54].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-55].Name;Degtyarev continues to walk
[StoryEvents.Event-55].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-55].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-56].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-56].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-56].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-57].Name;Degtyarev continues to walk
[StoryEvents.Event-57].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-57].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-58].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-58].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-58].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-59].Name;Psi radiation in kindergarten
[StoryEvents.Event-59].Desc-Owner;Degtyarev destroyed the portable Psi-installation in the %0:s area of ??the %1:s location, and there is no more psi radiation there!
[StoryEvents.Event-59].Desc-NonOwner;Rumor has it that Degtyarev destroyed the portable Psi-installation in the %0:s area of ??the %1:s location and there is no more psi radiation there!
[StoryEvents.Event-60].Name;Degtyarev continues to walk
[StoryEvents.Event-60].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-60].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-61].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-61].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-61].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-62].Name;Degtyarev continues to walk
[StoryEvents.Event-62].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-62].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-63].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-63].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-63].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-64].Name;Degtyarev continues to walk
[StoryEvents.Event-64].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-64].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-65].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-65].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-65].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-66].Name;Degtyarev continues to walk
[StoryEvents.Event-66].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-66].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-67].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-67].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-67].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-68].Name;Degtyarev continues to walk
[StoryEvents.Event-68].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-68].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-69].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-69].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-69].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-70].Name;Degtyarev continues to walk
[StoryEvents.Event-70].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-70].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-71].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-71].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-71].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-72].Name;Degtyarev continues to walk
[StoryEvents.Event-72].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-72].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-73].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-73].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-73].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-74].Name;Degtyarev continues to walk
[StoryEvents.Event-74].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-74].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-75].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-75].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-75].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-76].Name;Degtyarev continues to walk
[StoryEvents.Event-76].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-76].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-77].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-77].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-77].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-78].Name;Degtyarev continues to walk
[StoryEvents.Event-78].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-78].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-79].Name;Degtyarev attacked the garrison of the territory
[StoryEvents.Event-79].Desc-Owner;Damn it! Some stalker started a fight in the %0:s area of ??the %1:s location! Our losses:
[StoryEvents.Event-79].Desc-NonOwner;Rumor has it that some unknown stalker has entered the battle on the territory of %0:s, location %1:s.
[StoryEvents.Event-80].Name;Degtyarev continues to walk
[StoryEvents.Event-80].Desc-Owner;The stalker Degtyarev has been spotted in our territory, location %0:s, %1:s. Our garrison missed him.
[StoryEvents.Event-80].Desc-NonOwner;Rumor has it that stalker Degtyarev was spotted in the %0:s area of ??location %1:s.
[StoryEvents.Event-81].Name;Degtyarev attacked the garrison of the territory
