[Common_Strings].StoryEventsLevelText;События обучения:
[Groups.Soldiers.Mercenary].Text-End-Standart-Victory;Победа! Правительственные войска смогли взять под контроль всю территорию отчуждения и теперь стремительно наводят порядок. Но среди командиров царила коррупция. Некоторые стали промышлять подозрительными контрактами от частных фирм. Образовались различные мелкие отряды из солдат, которые занимались добычей артефактов и ловлей мутантов для частных «коллекционеров». Служба или деньги? Этим вопросом задавались все без исключений…
[Groups.Soldiers.Sectarianism].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону, но командиры на местах всё меньше соблюдали субординацию. Ротация не помогала. СБУ докладывало о неком элементе сектантства среди командиров, но подробнее расследовать не получалось. Командиры умело заметали следы. На столько, что даже О-Сознание так и не было найдено, о котором говорилось в найденных документах…
[Groups.Soldiers.Stability].Text-End-Standart-Victory;Победа! Правительственные войска смогли взять под контроль всю территорию отчуждения и теперь стремительно наводят порядок. Были сформированы различные мелкие отряды из солдат специального назначения для операций в особо опасных условиях. Так называли подземные комплексы и лаборатории, которых на удивление генералов, оказалось в несколько раз больше, чем предполагалось изначально. Вся добытая информация стремительно засекречивалась и общественность знала о Зоне только, что говорило им правительство.
[Groups.Soldiers.Stalkers].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону. Оно решило не только бороться с Зоной, но и скрытно на ней подзаработать. Были сформированы несколько секретных отрядов военных сталкеров для поиска особо ценных артефактов, которые потом продавались на черном рынке за рубежом для обогащения некоторых из «верхов». Таким образом, впоследствии появились так называемые «артефактные олигархи»…
[Groups.Soldiers.Unknow].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.Soldiers.Unknow].Text-End-Standart-Lose;Военных в Зоне не осталось... Теперь неизвестно чем всё кончится без правительственных сил. Вы разжалованы за провал! Поражение!
[Groups.Soldiers.Zombie].Text-End-Standart-Victory;Победа! Теперь О-Сознание в безопасности. Вскоре пси-излучение покрыло всю Зону благодаря увеличению числа излучателей. Даже Кордон стал опасен. Правительство хоть и не выпускало мутантов из Зоны, но больше не пыталось вернуть ее...
[Groups.Stalkers.:main].Spy1-Name;Новичок
[Groups.Stalkers.:main].Spy2-Name;Опытный
[Groups.Stalkers.:main].Spy3-Name;Ветеран
[Groups.Stalkers.:main].Spy4-Name;Мастер
[Groups.Stalkers.:main].Name;Одиночки
[Groups.Stalkers.:main].Description;Одиночки не имеют четкой иерархии и лидера. Преимуществом можно считать их предрасположенность к поиску артефактов, что благоприятно скажется на финансовом положении в умелых руках. Однако подконтрольные им территории разбросаны по локациям, что несет за собой большую сложность в плане их удержания. Группировке необходимо определиться с приоритетами в своем развитии.
[Groups.Stalkers.:main].DiplomacyText-Question-War;Мы объявляем вам войну!
[Groups.Stalkers.:main].DiplomacyText-Question-Neutral;Пора закончить эту бойню, мы готовы к миру, а Вы?
[Groups.Stalkers.:main].DiplomacyText-Question-Alliance;Мы хотим заключить с вами союз. Вы согласны?
[Groups.Stalkers.:main].DiplomacyText-Question-BreakAlliance;Мы расторгаем союз!
[Groups.Stalkers.:main].DiplomacyText-RequestMoney-Ask;У нас тут финансовые затруднения возникли. Нам бы помощь не помешала. Нас интересует сумма в таком вот размере:
[Groups.Stalkers.:main].DiplomacyText-Ans-0-Down;Ну ты и крыса! Война, так война!
[Groups.Stalkers.:main].DiplomacyText-Ans-1-Down;Да будет так.
[Groups.Stalkers.:main].DiplomacyText-Ans-1-No;На данный момент мы не видим в этом необходимости.
[Groups.Stalkers.:main].DiplomacyText-Ans-1-Yes;Да, мы согласны на прекращение огня.
[Groups.Stalkers.:main].DiplomacyText-Ans-2-No;Мы не уверены, что нам сейчас это нужно.
[Groups.Stalkers.:main].DiplomacyText-Ans-2-Yes;Да, мы согласны на сотрудничество.
[Groups.Stalkers.:main].DiplomacyText-RequestMoney-Ans-No;Увы, но сейчас мы не в состоянии помочь такой суммой.
[Groups.Stalkers.:main].DiplomacyText-RequestMoney-Ans-Yes;Ладно, мы перечислим вам эту сумму.
[Groups.Stalkers.:main].DiplomacyText-Question-Neutral-No;Очень жаль, что Вы отказались!
[Groups.Stalkers.:main].DiplomacyText-Question-Neutral-Yes;Хорошо! Мы рады, что Вы согласны!
[Groups.Stalkers.:main].DiplomacyText-Question-Alliance-No;Очень жаль, что Вы отказались!
[Groups.Stalkers.:main].DiplomacyText-Question-Alliance-Yes;Хорошо! Мы рады, что Вы согласны!
[Groups.Stalkers.:main].Text-End-Step-Victory;Вы выжили! Победа!
[Groups.Stalkers.:main].Text-End-EventFlag-Victory;Задание выполнено! Данная часть обучания пройдена.
[Groups.Stalkers.:main].Text-End-Standart-Lose;Группировка была полностью уничтожена, теперь Зону буду делить другие группировки. Поражение!
[Groups.Stalkers.:main].Text-End-Step-Lose;Время истекло, Вы не смогли добиться контроля над Зоной. Поражение!
[Groups.Stalkers.:main].Text-End-EventFlag-Lose;Время истекло, Вы не смогли добиться контроля над Зоной. Поражение!
[Groups.Stalkers.Anarchy].Text-End-Standart-Victory;Победа! Вскоре единая группировка сталкеров разработала ряд правил похожих на тех, что были у группировки Свобода, но с некоторыми явными отличиями. Упор делался на деньги, а не на идею. Через некоторое время внутри группировки стали образовываться «отдельные» группы по «интересам», что привело к расколу в верхах. Многие заговорили, что скоро начнется новый этап «Войны в Зоне»…
[Groups.Stalkers.AntiZone].Text-End-Standart-Victory;Победа! Вскоре единая группировка сталкеров разработала ряд правил похожих на тех, что были у группировки Долг, но без армейского уклона. Не всем это понравилось, но несогласные молчали, так как новое руководство всеми силами боролась с любыми проявлениями Зоны, что позволяло безопаснее собирать артефакты и не бояться за бандитов. Охота на мутантов была поставлена на поток, так что даже слепых псов на юге было не встретить. Командование группировки активно сотрудничала с Учеными и старалось не конфликтовать с Военными, что привело к новому этапу изучения Зоны, но ее тайны крайне неохотно раскрывались общественности.
[Groups.Stalkers.Control].Text-End-Standart-Victory;Победа! Вскоре сталкеры разработали ряд правил, которые были призваны наладить порядок в Зоне. Даже воинские звания заменили ранги. От старой неразберихи в командовании ни осталось не следа. Была налажена четкая система подчинения и командования, новые люди в Зоне принудительно включались в эту иерархию, а тех, кто был не согласен, сразу сдавали Военным за Кордон без лишних разговоров. Ходили слухи, что в верхах группировки сидели люди из военного руководства, но ни кто не смог это доказать. Или, возможно, не успевал опубликовать доказательства, так как его забирали Военные в неизвестном направлении. Зона стала менее открытой, но более безопасной, особенно для правительственных организаций.
[Groups.Stalkers.Crime].Text-End-Standart-Victory;Победа! Вскоре сталкеры создали правило, что в Зоне будет только одна группировка, и каждый человек обязан платить долю, а с торговцев стали собирать пошлину. Тех, кто не мог платить - сдавали военным за Кордон. Зона стала менее открытой для изучения правительственными силами и криминальность порядков снизило приток новых людей на охраняемую сталкерами территорию.
[Groups.Stalkers.Exploring].Text-End-Standart-Victory;Победа! Вскоре группировка вольных сталкеров стала активно сотрудничать со всеми учеными внутри Зоны. Добыча частей тел мутантов, артефактов, замеры аномальной активности… Все стали таким образом зарабатывать себе на жизнь. За любыми документами из подземных лабораторий началась настоящая охота. Мало их добыть… Нужно еще как-то донести эти бумажки до ближайшего бункера Ученых. И не помогал тот факт, что бункеров стало на порядок больше. Охотники за головами – вот новый бич Зоны. Если кто-то узнает, что у какого-то сталкера хоть одна бумажка из лаборатории или, на крайний случай, мало-мальски ценный для ученых предмет… Его смело можно записывать в покойники. Он не дойдет ни до одного бункера. Люди в Зоне разделились на две группы – тот, кто добывает и тот, кто охотится на тех, кому удалось что-либо добыть. Повсюду стреляли. Постепенно в Зоне становилось всё опаснее и опаснее…
[Groups.Stalkers.Growth].Text-End-Standart-Victory;Победа! Вскоре вольные сталкеры создали правило, что в Зоне больше не будет каких-либо группировок, а тех, кто решал заняться бандитизмом - сдавали военным за Кордон. Зона стала открыта для изучения всем желающим. И менее опасна.
[Groups.Stalkers.Growth].Text-End-Standart-Lose;Одиночки были полностью уничтожены, теперь Зону буду делить только группировки. Вольных сталкеров не осталось! Поражение!
[Groups.Stalkers.Mercenary].Text-End-Standart-Victory;Победа! Вскоре группировка вольных сталкеров стала всё больше и больше походить на обычных наёмников. Четкая иерархия разваливалась, группировка дробилась. «Заказы» стали править нынешним порядком. Убийства участились на столько, что Зона стала полна «профессиональными киллерами». Но пока люди грызлись между собой за так любимые ими деньги, Зона стала намного более опасной, так как на монстров обращали на много меньше внимания, чем следует. Поговаривали, что на Кордоне уже несколько раз видели новых неизвестных ранее и крайней опасных монстров.
[Groups.Stalkers.Sectarianism].Text-End-Standart-Victory;Победа! Вскоре группировка вольных сталкеров стала всё больше и больше походить на сектантов. В «низах» ходили слухи, что «верхушка» находится под влиянием «некоторых сил с севера». В словах командиров всё больше мелькали фразы религиозного характера. Велись активные боевые действия с правительственными силами, чтобы расширить своё влияние за пределы периметра. С каждым днём всё больше и больше велась промывка мозгов среди участников группировки, но нашлись и те, кто смог устоять и защитить свой разум. Большинство из них находилось на юге, так как они не подпадали под воздействие пси установок, которые были снова включены. Назревал новый этап «Войны в Зоне»…
