[Rules.Rule-1].Name;Maximum decentralization
[Advisors.Advisor-Soldiers-Poproshayko].Name;Major Poproshaiko
[Advisors.Advisor-Soldiers-Haleckiy].Name;Major Khaletsky
[Advisors.Advisor-Soldiers-Sokolov].Name;Ensign Sokolov
[Advisors.Advisor-Duty-Zvyagincev].Name;Major Zvyagintsev
[Advisors.Advisor-Duty-Incvizitor].Name;Inquisitor
[Advisors.Advisor-Duty-Nalivayko].Name;Sergeant Nalivaiko
[Advisors.Advisor-Duty-Fekl].Name;Fyokl
[Advisors.Advisor-Duty-Kolobok].Name;Kolobok
[Advisors.Advisor-Duty-Sudar].Name;Sir
[Advisors.Advisor-Duty-Semen].Name;Semyon Semyonovich
[Advisors.Advisor-Duty-Milutin].Name;Milyutin
[Advisors.Advisor-Duty-Gromov].Name;Thunderov
[Advisors.Advisor-Duty-Mityay].Name;Mitay
[Advisors.Advisor-Duty-Lis].Name;Fox Bandicoot
[Advisors.Advisor-Duty-Galin].Name;Galin
[Advisors.Advisor-Duty-Serega].Name;Seryoga
[Advisors.Advisor-Freedom-Shukin].Name;Lingov
[Advisors.Advisor-Freedom-Voron].Name;Raven
[Advisors.Advisor-Freedom-Ganzha].Name;Ganja
[Advisors.Advisor-Freedom-Yar].Name;Yar
[Advisors.Advisor-Freedom-Kostuk].Name;Kostyan
[Advisors.Advisor-Freedom-Ashot].Name;Ashot
[Advisors.Advisor-Freedom-Zhurnalist].Name;Journalist
[Advisors.Advisor-Monolith-Propovednik].Name;Preacher
[Advisors.Advisor-Monolith-Molitvennik].Name;Devotee
[Advisors.Advisor-Monolith-Messiya].Name;Messiah
[Advisors.Advisor-Mercenaries-Hog].Name;Hog
[Advisors.Advisor-Mercenaries-Leshiy].Name;Leshiy
[Advisors.Advisor-Mercenaries-Shtyr].Name;Pin
[Advisors.Advisor-Mercenaries-Tancpol].Name;Vitya Dancefloor
[Advisors.Advisor-Mercenaries-Avtobus].Name;Lyokha Bus
[Advisors.Advisor-Mercenaries-Rzhaviy].Name;Valera Rusty
[Advisors.Advisor-Mercenaries-Shtirlic].Name;Tolyan Stirlitz
[Advisors.Advisor-Mercenaries-Dollar].Name;"Ivan "One Dollar""
[Advisors.Advisor-Mercenaries-Plintus].Name;Timur Plintus
[Advisors.Advisor-Zombie-Controler].Name;Controller
[Achievements.Achiv-1].Name;Lightning Fast!
[Achievements.Achiv-1].Desc;New achievement unlocked! Capture the entire location within 10 turns.
[Achievements.Achiv-1].Desc-Logo;Capture the entire location within 10 turns.
[Achievements.Achiv-2].Name;Survival!
[Achievements.Achiv-2].Desc;New achievement unlocked! Capture the entire location and hold it for 1 turn playing as the Military on Veteran difficulty or higher.
[Achievements.Achiv-2].Desc-Logo;Capture the entire location and hold it for 1 turn playing as the Military on Veteran difficulty or higher.
[Achievements.Achiv-3].Name;Dangerous Enemy!
[Achievements.Achiv-3].Desc;New achievement unlocked! Survive the destruction of the Loners faction playing as Monolith.
[Achievements.Achiv-3].Desc-Logo;Survive the destruction of the Loners faction playing as Monolith.
[Achievements.Achiv-4].Name;Came, Saw, Conquered!
[Achievements.Achiv-4].Desc;New achievement unlocked! Capture the entire location and hold it for 1 turn on Master difficulty.
[Achievements.Achiv-4].Desc-Logo;Capture the entire location and hold it for 1 turn on Master difficulty.
[Achievements.Achiv-5].Name;Stable Situation!
[Achievements.Achiv-5].Desc;New achievement unlocked! Adopt the Stability ideology playing as the Mercenaries on Master difficulty and survive for 1 turn.
[Achievements.Achiv-5].Desc-Logo;Adopt the Stability ideology playing as the Mercenaries on Master difficulty and survive for 1 turn.
[Achievements.Achiv-6].Name;Time for Research!
[Achievements.Achiv-6].Desc;New achievement unlocked! Adopt the Exploration ideology for any faction and survive for 1 turn.
[Achievements.Achiv-6].Desc-Logo;Adopt the Exploration ideology for any faction and survive for 1 turn.
[Traders.World].Name;Outside World
[Traders.World].NeedText;Contact with the Outside World cannot always be established. Cost per connection attempt:
[Traders.YourGroup].Name;Your Faction Trader
[Traders.YourGroup].NeedText;You can always trade with your faction trader. Cost:
[Traders.OtherGroup].Name;Enemy Faction Trader
[Traders.OtherGroup].NeedText;To trade with other factions, first select an enemy territory on the map.
[StoryEvents.Event-Info-1].Name;Scar
[StoryEvents.Event-Info-1].Desc-Owner;Mercenary Scar is heading to location %1:s on the Forester's orders and will soon appear in territory %0:s.
[StoryEvents.Event-Info-1].Desc-NonOwner;Mercenary Scar is heading to location %1:s on the Forester's orders and will soon appear in territory %0:s.
[StoryEvents.Event-Military1-1].Name;Scar Has Appeared
[StoryEvents.Event-Military1-1].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military1-1].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military1-2].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military1-2].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military1-2].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military1-3].Name;Scar Has Appeared
[StoryEvents.Event-Military1-3].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military1-3].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military1-4].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military1-4].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military1-4].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military1-5].Name;Scar is on the move
[StoryEvents.Event-Military1-5].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military1-5].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military1-6].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military1-6].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military1-6].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military1-7].Name;Scar is on the move
[StoryEvents.Event-Military1-7].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military1-7].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military1-8].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military1-8].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military1-8].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military1-9].Name;Scar is on the move
[StoryEvents.Event-Military1-9].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military1-9].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military1-10].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military1-10].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military1-10].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military1-11].Name;Scar is on the move
[StoryEvents.Event-Military1-11].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military1-11].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military1-12].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military1-12].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military1-12].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-AddUnit-Monolith-1].Name;Monolith Reinforcements
[StoryEvents.Event-AddUnit-Monolith-1].Desc-Owner;A Monolith detachment has arrived from the Radar to territory %0:s at location %1:s!
[StoryEvents.Event-AddUnit-Monolith-1].Desc-NonOwner;We received intelligence that Monolith has received reinforcements from the Radar in territory %0:s at location %1:s.
[StoryEvents.Event-Invasion-Monolith-1].Name;Monolith Invasion
[StoryEvents.Event-Invasion-Monolith-1].Desc-Owner;A Monolith detachment invaded from the Radar into territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Invasion-Monolith-1].Desc-NonOwner;We received intelligence that a Monolith detachment invaded from the Radar into territory %0:s at location %1:s.
[StoryEvents.Event-AddUnit-Monolith-2].Name;Monolith Reinforcements
[StoryEvents.Event-AddUnit-Monolith-2].Desc-Owner;A Monolith detachment has arrived from the Radar to territory %0:s at location %1:s!
[StoryEvents.Event-AddUnit-Monolith-2].Desc-NonOwner;We received intelligence that Monolith has received reinforcements from the Radar in territory %0:s at location %1:s.
[StoryEvents.Event-Invasion-Monolith-2].Name;Monolith Invasion
[StoryEvents.Event-Invasion-Monolith-2].Desc-Owner;A Monolith detachment invaded from the Radar into territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Invasion-Monolith-2].Desc-NonOwner;We received intelligence that a Monolith detachment invaded from the Radar into territory %0:s at location %1:s.
[StoryEvents.Event-AddUnit-Monolith-3].Name;Monolith Reinforcements
[StoryEvents.Event-AddUnit-Monolith-3].Desc-Owner;A Monolith detachment has arrived from the Radar to territory %0:s at location %1:s!
[StoryEvents.Event-AddUnit-Monolith-3].Desc-NonOwner;We received intelligence that Monolith has received reinforcements from the Radar in territory %0:s at location %1:s.
[StoryEvents.Event-Invasion-Monolith-3].Name;Monolith Invasion
[StoryEvents.Event-Invasion-Monolith-3].Desc-Owner;A Monolith detachment invaded from the Radar into territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Invasion-Monolith-3].Desc-NonOwner;We received intelligence that a Monolith detachment invaded from the Radar into territory %0:s at location %1:s.
[StoryEvents.Event-AddUnit-Monolith-4].Name;Monolith Reinforcements
[StoryEvents.Event-AddUnit-Monolith-4].Desc-Owner;A Monolith detachment has arrived from the Radar to territory %0:s at location %1:s!
[StoryEvents.Event-AddUnit-Monolith-4].Desc-NonOwner;We received intelligence that Monolith has received reinforcements from the Radar in territory %0:s at location %1:s.
[StoryEvents.Event-Invasion-Monolith-4].Name;Monolith Invasion
[StoryEvents.Event-Invasion-Monolith-4].Desc-Owner;A Monolith detachment invaded from the Radar into territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Invasion-Monolith-4].Desc-NonOwner;We received intelligence that a Monolith detachment invaded from the Radar into territory %0:s at location %1:s.
[StoryEvents.Event-AddUnit-Monolith-5].Name;Monolith Reinforcements
[StoryEvents.Event-AddUnit-Monolith-5].Desc-Owner;A Monolith detachment has arrived from the Radar to territory %0:s at location %1:s!
[StoryEvents.Event-AddUnit-Monolith-5].Desc-NonOwner;We received intelligence that Monolith has received reinforcements from the Radar in territory %0:s at location %1:s.
[StoryEvents.Event-Invasion-Monolith-5].Name;Monolith Invasion
[StoryEvents.Event-Invasion-Monolith-5].Desc-Owner;A Monolith detachment invaded from the Radar into territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Invasion-Monolith-5].Desc-NonOwner;We received intelligence that a Monolith detachment invaded from the Radar into territory %0:s at location %1:s.
[StoryEvents.Event-AddUnit-Zombie-1].Name;Zombie Reinforcements
[StoryEvents.Event-AddUnit-Zombie-1].Desc-Owner;A Zombie detachment has arrived from the Radar to territory %0:s at location %1:s!
[StoryEvents.Event-AddUnit-Zombie-1].Desc-NonOwner;We received intelligence that the Zombies have received reinforcements from the Radar in territory %0:s at location %1:s.
[StoryEvents.Event-Invasion-Zombie-1].Name;Zombie Invasion
[StoryEvents.Event-Invasion-Zombie-1].Desc-Owner;A Zombie detachment invaded from the Radar into territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Invasion-Zombie-1].Desc-NonOwner;We received intelligence that a Zombie detachment invaded from the Radar into territory %0:s at location %1:s.
[StoryEvents.Event-AddUnit-Zombie-2].Name;Zombie Reinforcements
[StoryEvents.Event-AddUnit-Zombie-2].Desc-Owner;A Zombie detachment has arrived from the Radar to territory %0:s at location %1:s!
[StoryEvents.Event-AddUnit-Zombie-2].Desc-NonOwner;We received intelligence that the Zombies have received reinforcements from the Radar in territory %0:s at location %1:s.
[StoryEvents.Event-Invasion-Zombie-2].Name;Zombie Invasion
[StoryEvents.Event-Invasion-Zombie-2].Desc-Owner;A Zombie detachment invaded from the Radar into territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Invasion-Zombie-2].Desc-NonOwner;We received intelligence that a Zombie detachment invaded from the Radar into territory %0:s at location %1:s.
[StoryEvents.Event-AddUnit-Zombie-3].Name;Zombie Reinforcements
[StoryEvents.Event-AddUnit-Zombie-3].Desc-Owner;A Zombie detachment has arrived from the Radar to territory %0:s at location %1:s!
[StoryEvents.Event-AddUnit-Zombie-3].Desc-NonOwner;We received intelligence that the Zombies have received reinforcements from the Radar in territory %0:s at location %1:s.
[StoryEvents.Event-Invasion-Zombie-3].Name;Zombie Invasion
[StoryEvents.Event-Invasion-Zombie-3].Desc-Owner;A Zombie detachment invaded from the Radar into territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Invasion-Zombie-3].Desc-NonOwner;We received intelligence that a Zombie detachment invaded from the Radar into territory %0:s at location %1:s.
[StoryEvents.Event-AddUnit-Zombie-4].Name;Zombie Reinforcements
[StoryEvents.Event-AddUnit-Zombie-4].Desc-Owner;A Zombie detachment has arrived from the Radar to territory %0:s at location %1:s!
[StoryEvents.Event-AddUnit-Zombie-4].Desc-NonOwner;We received intelligence that the Zombies have received reinforcements from the Radar in territory %0:s at location %1:s.
[StoryEvents.Event-Invasion-Zombie-4].Name;Zombie Invasion
[StoryEvents.Event-Invasion-Zombie-4].Desc-Owner;A Zombie detachment invaded from the Radar into territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Invasion-Zombie-4].Desc-NonOwner;We received intelligence that a Zombie detachment invaded from the Radar into territory %0:s at location %1:s.
[StoryEvents.Event-Military2-1].Name;Scar is on the move
[StoryEvents.Event-Military2-1].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-1].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-2].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-2].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-2].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-3].Name;Scar is on the move
[StoryEvents.Event-Military2-3].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-3].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-4].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-4].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-4].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-5].Name;Scar is on the move
[StoryEvents.Event-Military2-5].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-5].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-6].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-6].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-6].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-7].Name;Scar is on the move
[StoryEvents.Event-Military2-7].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-7].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-8].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-8].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-8].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-9].Name;Scar is on the move
[StoryEvents.Event-Military2-9].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-9].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-10].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-10].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-10].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-11].Name;Scar is on the move
[StoryEvents.Event-Military2-11].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-11].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-12].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-12].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-12].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-13].Name;Scar is on the move
[StoryEvents.Event-Military2-13].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-13].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-14].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-14].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-14].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-15].Name;Scar is on the move
[StoryEvents.Event-Military2-15].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-15].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-16].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-16].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-16].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-17].Name;Scar is on the move
[StoryEvents.Event-Military2-17].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-17].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-18].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-18].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-18].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-19].Name;Scar is on the move
[StoryEvents.Event-Military2-19].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-19].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-20].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-20].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-20].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-21].Name;Scar is on the move
[StoryEvents.Event-Military2-21].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-21].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-22].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-22].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-22].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-23].Name;Scar is on the move
[StoryEvents.Event-Military2-23].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-23].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-24].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-24].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-24].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-25].Name;Scar is on the move
[StoryEvents.Event-Military2-25].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-25].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-26].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-26].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-26].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-27].Name;Scar is on the move
[StoryEvents.Event-Military2-27].Desc-Owner;Mercenary Scar has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Military2-27].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Military2-28].Name;Scar Attacked the Territory Garrison
[StoryEvents.Event-Military2-28].Desc-Owner;Our patrols encountered the mercenary known as Scar. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Military2-28].Desc-NonOwner;Rumors say that mercenary Scar was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Info-2].Name;Scar En Route to the Bridge
[StoryEvents.Event-Info-2].Desc-Owner;Mercenary Scar has left location %1:s and is heading toward the bridge in the Red Forest.
[StoryEvents.Event-Info-2].Desc-NonOwner;Mercenary Scar has left location %1:s and is heading toward the bridge in the Red Forest.
ScenarioName;Barrier Defense. Clear Sky
ScenarioDescription;A lore-friendly scenario where events take place closer to the end of the original game. You must fully capture the Army Warehouses location before Scar stops Strelok at CNPP. You have approximately 35 turns. Diplomacy between factions may diverge from canon during gameplay.
ScenarioLoseDescription;Defeat conditions: lose all controlled territories or fail to meet victory conditions within approximately 37 turns.
[Groups.Duty.:main].Spy1-Name;Novice
[Groups.Duty.:main].Spy2-Name;Experienced
[Groups.Duty.:main].Spy3-Name;Veteran
[Groups.Duty.:main].Spy4-Name;Master
[Groups.Duty.:main].Name;Duty
[Groups.Duty.:main].Description;Duty - the faction's goal is to protect the world from the contamination of the Zone. A fairly powerful militarized faction. Good weaponry and a predisposition to fighting mutants guarantee success in capable hands.
[Groups.Duty.:main].DiplomacyText-Question-War;You and your gang are a threat to the world. Time to deal with you!
[Groups.Duty.:main].DiplomacyText-Question-Neutral;We want to establish a ceasefire with you. Do you agree?
[Groups.Duty.:main].DiplomacyText-Question-Alliance;We propose an alliance. Together we could carry out a couple of operations against our enemies. Do you agree?
[Groups.Duty.:main].DiplomacyText-Question-BreakAlliance;We will no longer cooperate!
[Groups.Duty.:main].DiplomacyText-RequestMoney-Ask;Got any spare funds? Times are tough for us. We could use about this much:
[Groups.Duty.:main].DiplomacyText-Ans-0-Down;Understood. We'll cleanse the Zone of you too!
[Groups.Duty.:main].DiplomacyText-Ans-1-Down;Pity... but if you insist, so be it.
[Groups.Duty.:main].DiplomacyText-Ans-1-No;No, we definitely won't go for that right now.
[Groups.Duty.:main].DiplomacyText-Ans-1-Yes;We hope for further cooperation.
[Groups.Duty.:main].DiplomacyText-Ans-2-No;No, we definitely won't go for that right now.
