[SpecialEvents.BrainPsy].Name;Воздействие пси установки!
[Advisors.Advisor-FifthGroup-Balance-3].Name;Боевик
[Advisors.Advisor-FifthGroup-Balance-4].Name;Агитатор
[Advisors.Advisor-FifthGroup-Gray].Name;Серый
[Advisors.Advisor-FifthGroup-White].Name;Белый
[Advisors.Advisor-FifthGroup-Black].Name;Тёмный
[Advisors.Advisor-SixthGroup-Balance-1].Name;Разведчик
[Advisors.Advisor-SixthGroup-Balance-2].Name;Управленец
[Advisors.Advisor-SixthGroup-Balance-3].Name;Боевик
[Advisors.Advisor-SixthGroup-Balance-4].Name;Агитатор
[Advisors.Advisor-SixthGroup-Gray].Name;Серый
[Advisors.Advisor-SixthGroup-White].Name;Белый
[Advisors.Advisor-SixthGroup-Black].Name;Тёмный
[Advisors.Advisor-SeventhGroup-Balance-1].Name;Разведчик
[Advisors.Advisor-SeventhGroup-Balance-2].Name;Управленец
[Advisors.Advisor-SeventhGroup-Balance-3].Name;Боевик
[Advisors.Advisor-SeventhGroup-Balance-4].Name;Агитатор
[Advisors.Advisor-SeventhGroup-Gray].Name;Серый
[Advisors.Advisor-SeventhGroup-White].Name;Белый
[Advisors.Advisor-SeventhGroup-Black].Name;Тёмный
[Advisors.Advisor-EighthGroup-Balance-1].Name;Разведчик
[Advisors.Advisor-EighthGroup-Balance-2].Name;Управленец
[Advisors.Advisor-EighthGroup-Balance-3].Name;Боевик
[Advisors.Advisor-EighthGroup-Balance-4].Name;Агитатор
[Advisors.Advisor-EighthGroup-Gray].Name;Серый
[Advisors.Advisor-EighthGroup-White].Name;Белый
[Advisors.Advisor-EighthGroup-Black].Name;Тёмный
[Advisors.Advisor-Zombie-Kontroler].Name;Контролер
[Achievements.Achiv-1].Name;Загадавший желание!
[Achievements.Achiv-1].Desc;Получено новое достижение! Захватить Саркофаг за любую группировку, кроме Монолит и Мутанты и удержать его в течении 1 хода.
[Achievements.Achiv-1].Desc-Logo;Захватить Саркофаг за любую группировку, кроме Монолит и Мутанты и удержать его в течении 1 хода.
[Achievements.Achiv-2].Name;Чики-брики и в дамки!
[Achievements.Achiv-2].Desc;Получено новое достижение! Захватить всю Зону за группировку Бандиты.
[Achievements.Achiv-2].Desc-Logo;Захватить всю Зону за группировку Бандиты.
[Achievements.Achiv-3].Name;Я Легенда!
[Achievements.Achiv-3].Desc;Получено новое достижение! Пройти сценарий на уровне сложности Мастер.
[Achievements.Achiv-3].Desc-Logo;Пройти сценарий на уровне сложности Мастер.
[Achievements.Achiv-4].Name;Выполнил заказ!
[Achievements.Achiv-4].Desc;Получено новое достижение! Захватить всю Зону за группировку Наёмники.
[Achievements.Achiv-4].Desc-Logo;Захватить всю Зону за группировку Наёмники.
[Achievements.Achiv-5].Name;Криминальная секта!
[Achievements.Achiv-5].Desc;Получено новое достижение! Принять идеологию Сектантство за группировку Бандиты и продержаться 1 ход.
[Achievements.Achiv-5].Desc-Logo;Принять идеологию Сектанство за группировку Бандиты и продержаться 1 ход.
[Achievements.Achiv-6].Name;Отголосок Болот
[Achievements.Achiv-6].Desc;Получено новое достижение! Принять идеологию Стабильность за группировку Военные на уровне сложности Мастер и продержаться 1 ход.
[Achievements.Achiv-6].Desc-Logo;Принять идеологию Стабильность за группировку Военные на уровне сложности Мастер и продержаться 1 ход.
[Traders.World].Name;Внешний мир
[Traders.World].NeedText;Связь с внешним миром не всегда удается установить. Шанс 50%. Цена попытки установить связь:
[Traders.YourGroup].Name;Торговец вашей группировки
[Traders.YourGroup].NeedText;Вы всегда можете поторговать со своим торговцем. Цена:
[Traders.OtherGroup].Name;Торговец чужой группировки
[Traders.OtherGroup].NeedText;Чтобы торговать с чужими группировками сначала выберите на карте чужую территорию
ScenarioName;8 игроков. Противостояние
ScenarioDescription;Из-за последнего выброса образовались несколько телепортационных аномалий, которую ведут на эту странную локацию. Похоже, тут были не так давно пространственные аномальные шары или что-то похоже на них, которые перенесли сюда части зданий, руин, лесов и полян. Одинокие многоэтажки в полях, дороги ведущие в никуда и множество других странностей ждут сталкеров! Карта локации для игры на 8 игроков. Полностью зеркальный баланс, стороны имеют одинаковые стартовые условия. Данный сценарий не имеет ограничение по количеству ходов. Вам необходимо захватить всю локацию.
ScenarioVictoryDescription;Условия победы: захватить все территории на карте и удержать их 1 ход.
ScenarioLoseDescription;Условия поражения: потерять все подконтрольные территории.
