[SpecialEvents.Burst].Name;Выброс!
[Traders.YourGroup].NeedText;Вы всегда можете поторговать со своим торговцем. Цена:
[Traders.OtherGroup].Name;Торговец чужой группировки
[Traders.OtherGroup].NeedText;Чтобы торговать с чужими группировками сначала выберите на карте чужую территорию
[Traders.Trader1].Name;Сидорович
[Traders.Trader1].NeedText;Торговать с ним можно при условии контролирования территории Деревня на Кордоне. Цена:
[Traders.Trader2].Name;Бармен
[Traders.Trader2].NeedText;Бармен будет доступен для торговли при условии контролирования территории Бар 100 рентген. Цена:
[Traders.Trader3].Name;Сахаров
[Traders.Trader3].NeedText;Сахаров доступен при условии контроля территории Бункер на локации Янтарь. Цена:
[StoryEvents.Event-Cordon-1].Name;Появление Меченого
[StoryEvents.Event-Cordon-1].Desc-Owner;Сталкер Волк сообщает, что сталкер по прозвищу Меченый пришел в себя. Сейчас он взялся за работу Сидоровича. Возможно, мы скоро узнаем, что к чему...
[StoryEvents.Event-Cordon-1].Desc-NonOwner;Ходят слухи о появлении в Зоне неизвестного сталкера, которого называют Меченый. Говорят, что его нашли живым в разбившемся грузовике смерти...
[StoryEvents.Event-Cordon-2].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon-2].Desc-Owner;Вот черт! Какой-то сталкер Меченый развязал бой на территории %0:s! Наши потери:
[StoryEvents.Event-Cordon-2].Desc-NonOwner;Ходят слухи, что сталкер Меченый вступил в бой на территории %0:s
[StoryEvents.Event-Cordon-3].Name;Меченый перемещается
[StoryEvents.Event-Cordon-3].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon-3].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-4].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon-4].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon-4].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-5].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon-5].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon-5].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-6].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon-6].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon-6].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-7].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon-7].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon-7].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-8].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon-8].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon-8].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-ChangeOwner-1].Name;Потеря территории
[StoryEvents.Event-Cordon-ChangeOwner-1].Desc-Owner;Мы потеряли контроль над территорией %0:s локации %1:s
[StoryEvents.Event-Cordon-ChangeOwner-1].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Cordon-ChangeOwner-1
[StoryEvents.Event-Cordon-Advisor-1].Name;Шустрый спасен
[StoryEvents.Event-Cordon-Advisor-1].Desc-Owner;Шустрый теперь доступен как кандидат в заместители!
[StoryEvents.Event-Cordon-Advisor-1].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Cordon-Advisor-1
[StoryEvents.Event-Cordon-ChangeOwner-2].Name;Потеря территории
[StoryEvents.Event-Cordon-ChangeOwner-2].Desc-Owner;Если вы это видите, то это баг ивента Event-Cordon-ChangeOwner-2
[StoryEvents.Event-Cordon-ChangeOwner-2].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Cordon-ChangeOwner-2
[StoryEvents.Event-Cordon-9].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon-9].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon-9].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-10].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon-10].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon-10].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-11].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon-11].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon-11].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-12].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon-12].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon-12].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-13].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon-13].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon-13].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-14].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon-14].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon-14].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-15].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon-15].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon-15].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-16].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon-16].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon-16].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-17].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon-17].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon-17].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-18].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon-18].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon-18].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-19].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon-19].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon-19].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-20].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon-20].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon-20].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-21].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon-21].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon-21].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-22].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon-22].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon-22].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-ChangeOwner-3].Name;Потеря территории
[StoryEvents.Event-Cordon-ChangeOwner-3].Desc-Owner;Мы потеряли контроль над территорией %0:s локации %1:s
[StoryEvents.Event-Cordon-ChangeOwner-3].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Cordon-ChangeOwner-3
[StoryEvents.Event-Cordon-Advisor-2].Name;Лис спасен
[StoryEvents.Event-Cordon-Advisor-2].Desc-Owner;Лис теперь доступен как кандидат в заместители!
[StoryEvents.Event-Cordon-Advisor-2].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Cordon-Advisor-2
[StoryEvents.Event-Cordon-23].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon-23].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon-23].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-24].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon-24].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon-24].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-25].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon-25].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon-25].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon-26].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon-26].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon-26].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-1].Name;Меченый продолжает идти
[StoryEvents.Event-Dump-1].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Dump-1].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-2].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Dump-2].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Dump-2].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-ChangeOwner-1].Name;Потеря территории
[StoryEvents.Event-Dump-ChangeOwner-1].Desc-Owner;Мы потеряли контроль над территорией %0:s локации %1:s
[StoryEvents.Event-Dump-ChangeOwner-1].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Cordon-ChangeOwner-1
[StoryEvents.Event-Dump-Advisor-1].Name;Юрик спасен
[StoryEvents.Event-Dump-Advisor-1].Desc-Owner;Юрик теперь доступен как кандидат в заместители!
[StoryEvents.Event-Dump-Advisor-1].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Dump-Advisor-1
[StoryEvents.Event-Dump-ChangeOwner-2].Name;Потеря территории
[StoryEvents.Event-Dump-ChangeOwner-2].Desc-Owner;Если вы это видите, то это баг ивента Event-Cordon-ChangeOwner-2
[StoryEvents.Event-Dump-ChangeOwner-2].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Cordon-ChangeOwner-2
[StoryEvents.Event-Dump-AddUnit-1].Name;Технический ивент
[StoryEvents.Event-Dump-AddUnit-1].Desc-Owner;Если вы это видите, то это баг ивента Event-Dump-AddUnit-1
[StoryEvents.Event-Dump-AddUnit-1].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Dump-AddUnit-1
[StoryEvents.Event-Dump-3].Name;Меченый продолжает идти
[StoryEvents.Event-Dump-3].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Dump-3].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-4].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Dump-4].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Dump-4].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-Advisor-2].Name;Бес
[StoryEvents.Event-Dump-Advisor-2].Desc-Owner;Бес теперь доступен как кандидат в заместители!
[StoryEvents.Event-Dump-Advisor-2].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Dump-Advisor-2
[StoryEvents.Event-Dump-5].Name;Меченый продолжает идти
[StoryEvents.Event-Dump-5].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Dump-5].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-6].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Dump-6].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Dump-6].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-7].Name;Меченый продолжает идти
[StoryEvents.Event-Dump-7].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Dump-7].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-8].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Dump-8].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Dump-8].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-9].Name;Меченый продолжает идти
[StoryEvents.Event-Dump-9].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Dump-9].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-10].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Dump-10].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Dump-10].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-Advisor-3].Name;Серый
[StoryEvents.Event-Dump-Advisor-3].Desc-Owner;Серый теперь доступен как кандидат в заместители!
[StoryEvents.Event-Dump-Advisor-3].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Dump-Advisor-3
[StoryEvents.Event-Dump-11].Name;Меченый продолжает идти
[StoryEvents.Event-Dump-11].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Dump-11].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-12].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Dump-12].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Dump-12].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-13].Name;Меченый продолжает идти
[StoryEvents.Event-Dump-13].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Dump-13].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump-14].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Dump-14].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Dump-14].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Agroprom-1].Name;Меченый продолжает идти
[StoryEvents.Event-Agroprom-1].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Agroprom-1].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Agroprom-2].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Agroprom-2].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Agroprom-2].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Agroprom-Helicopter-1].Name;Замечен вертолёт
[StoryEvents.Event-Agroprom-Helicopter-1].Desc-Owner;Над локацией %1:s замечен военный вертолёт!
[StoryEvents.Event-Agroprom-Helicopter-1].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Agroprom-3].Name;Меченый продолжает идти
[StoryEvents.Event-Agroprom-3].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Agroprom-3].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Agroprom-4].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Agroprom-4].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Agroprom-4].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Agroprom-SetFlag1-1].Name;Технический ивент
[StoryEvents.Event-Agroprom-SetFlag1-1].Desc-Owner;Если вы это видите, то это баг ивента Event-Agroprom-SetFlag1-1
[StoryEvents.Event-Agroprom-SetFlag1-1].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Agroprom-SetFlag1-1
[StoryEvents.Event-Agroprom-Helicopter-2].Name;Атака вертолёта
[StoryEvents.Event-Agroprom-Helicopter-2].Desc-Owner;По территории %0:s локации %1:s был нанесён удар военным вертолётом! Предположительно, мы понесли следующие потери:
[StoryEvents.Event-Agroprom-Helicopter-2].Desc-NonOwner;По территории %0:s локации %1:s был нанесён удар военным вертолётом!
[StoryEvents.Event-Agroprom-Invasion-1].Name;Военный десант
[StoryEvents.Event-Agroprom-Invasion-1].Desc-Owner;Территорию %0:s локации %1:s штурмует десант Военных!
[StoryEvents.Event-Agroprom-Invasion-1].Desc-NonOwner;К нам поступила информация, что территорию %0:s локации %1:s штурмует десант Военных!
[StoryEvents.Event-Agroprom-SetFlag1-2].Name;Технический ивент
[StoryEvents.Event-Agroprom-SetFlag1-2].Desc-Owner;Если вы это видите, то это баг ивента Event-Agroprom-SetFlag1-2
[StoryEvents.Event-Agroprom-SetFlag1-2].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Agroprom-SetFlag1-2
[StoryEvents.Event-Agroprom-5].Name;Меченый продолжает идти
[StoryEvents.Event-Agroprom-5].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Agroprom-5].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Agroprom-6].Name;Меченый напал на гарнизон территории
