[Common_Strings].StoryEventsLevelText;События обучения:
[Groups.Bandits.Unknow].Text-End-Step-Lose;"Время истекло. Пацаны говорят, что ""бугор"" из тебя никакой... Поражение!"
[Groups.Bandits.Zombie].Text-End-Standart-Victory;Победа! Теперь О-Сознание в безопасности. Вскоре пси-излучение покрыло всю Зону благодаря увеличению числа излучателей. Даже Кордон стал опасен. Правительство хоть и не выпускало мутантов из Зоны, но больше не пыталось вернуть ее...
[Groups.Soldiers.:main].Spy1-Name;Новичок
[Groups.Soldiers.:main].Spy2-Name;Опытный
[Groups.Soldiers.:main].Spy3-Name;Ветеран
[Groups.Soldiers.:main].Spy4-Name;Мастер
[Groups.Soldiers.:main].Name;Военные
[Groups.Soldiers.:main].Description;Военные – государственные силы на территории Зоны. Считают своими врагами всё живое внутри периметра кроме Экологов. Имеют отличную амуницию в плане борьбы с любыми сталкерами, однако, плохо приспособлены к аномальным порождениям Зоны.
[Groups.Soldiers.:main].DiplomacyText-Question-War;Ваше нахождение в Зоне теперь считается незаконным. Попадетёсь - расстрел на месте!
[Groups.Soldiers.:main].DiplomacyText-Question-Neutral;Командование считает, что нам нужно снизить оперативную активность. Как насчет перемирия?
[Groups.Soldiers.:main].DiplomacyText-Question-Alliance;Командование считает, что нам нужен союзник в Зоне для проведения операций. Вы согласны?
[Groups.Soldiers.:main].DiplomacyText-Question-BreakAlliance;Мы больше не будем сотрудничать!
[Groups.Soldiers.:main].DiplomacyText-RequestMoney-Ask;Правительственным силам требуется финансовое содействие на новый особняк генерал.. Кхм. На... На выполнение особых задач вот в таком размере. Поможите?
[Groups.Soldiers.:main].DiplomacyText-Ans-0-Down;Да мы тебя в порошок сотрём!
[Groups.Soldiers.:main].DiplomacyText-Ans-1-Down;Это еще как понимать?
[Groups.Soldiers.:main].DiplomacyText-Ans-1-No;Нет, мы не можем закрыть глаза на ваше присутствие в Зоне.
[Groups.Soldiers.:main].DiplomacyText-Ans-1-Yes;Ладно, мы закроем глаза на ваше присутствие в Зоне...
[Groups.Soldiers.:main].DiplomacyText-Ans-2-No;Нет, мы не можем закрыть глаза на ваше присутствие в Зоне.
[Groups.Soldiers.:main].DiplomacyText-Ans-2-Yes;Армии нужен союзник в Зоне. Хорошо, мы согласны.
[Groups.Soldiers.:main].DiplomacyText-RequestMoney-Ans-No;Нет, мы не оказываем финансовую помощь!
[Groups.Soldiers.:main].DiplomacyText-RequestMoney-Ans-Yes;Да, начальство согласилось помочь вам с финансами
[Groups.Soldiers.:main].DiplomacyText-Question-Neutral-No;Отказались? Ну.. Это Вы зря!
[Groups.Soldiers.:main].DiplomacyText-Question-Neutral-Yes;Отлично, хорошо что Вы согласились!
[Groups.Soldiers.:main].DiplomacyText-Question-Alliance-No;Отказались? Ну.. Это Вы зря!
[Groups.Soldiers.:main].DiplomacyText-Question-Alliance-Yes;Отлично, хорошо что Вы согласились!
[Groups.Soldiers.:main].Text-End-Step-Victory;Вы выжили! Победа!
[Groups.Soldiers.:main].Text-End-EventFlag-Victory;Победа по ивент флагу!
[Groups.Soldiers.:main].Text-End-Standart-Lose;Группировка была полностью уничтожена, теперь Зону буду делить другие группировки. Поражение!
[Groups.Soldiers.:main].Text-End-Step-Lose;Время истекло, Вы не смогли добиться контроля над Зоной. Вы разжалованы. Поражение!
[Groups.Soldiers.:main].Text-End-EventFlag-Lose;Время истекло, Вы не смогли добиться контроля над Зоной. Поражение!
[Groups.Soldiers.Anarchy].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Но часть документации попало странным образом в руки общественности. Оружие, опыты над людьми, причина появления Зоны... Теперь многое из этого стало достояние общественности...
[Groups.Soldiers.AntiZone].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной... Новым приоритетом стало уничтожение любых проявлений Зоны. Главная цель – мутанты. Были сформированы специальные группы вооруженные дробовиками и огнемётами для уничтожения любого существа, даже если это были мелкие крысы. Убрать аномальные проявления Зоны – новый приказ правительства, который необходимо выполнить.
[Groups.Soldiers.Control].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.Soldiers.Control].Text-End-Standart-Lose;Военных в Зоне не осталось... Теперь неизвестно чем всё кончится без правительственных сил. Вы разжалованы за провал! Поражение!
[Groups.Soldiers.Crime].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону. Но коррупция и разгильдяйство процветало. На рейды против мутантов почему-то не хватало то амуниции, то из-за не годности, то из-за отсутствия нужного на складах… Охрана периметра отчуждения занималось не охраной, а сбором взяток при провозе запрещенных предметов, например, артефактов. Неизвестно к чему приведет такое не внимательное отношение к Зоне, но вряд ли к чему-то хорошему…
[Groups.Soldiers.Exploring].Text-End-Standart-Victory;Победа! Правительственные войска смогли взять под контроль всю территорию отчуждения и теперь стремительно наводят порядок. Новым приоритетом стало обеспечение безопасности исследовательских групп. Были сформированы различные мелкие отряды из солдат специального назначения для операций в особо опасных условиях. Так называли подземные комплексы и лаборатории, которых на удивление генералов, оказалось в несколько раз больше, чем предполагалось изначально. Вся добытая информация стремительно засекречивалась и общественность знала о Зоне только, что говорило им правительство.
[Groups.Soldiers.Growth].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.Soldiers.Growth].Text-End-Standart-Lose;Военных в Зоне не осталось... Теперь неизвестно чем всё кончится без правительственных сил. Вы разжалованы за провал! Поражение!
[Groups.Soldiers.Mercenary].Text-End-Standart-Victory;Победа! Правительственные войска смогли взять под контроль всю территорию отчуждения и теперь стремительно наводят порядок. Но среди командиров царила коррупция. Некоторые стали промышлять подозрительными контрактами от частных фирм. Образовались различные мелкие отряды из солдат, которые занимались добычей артефактов и ловлей мутантов для частных «коллекционеров». Служба или деньги? Этим вопросом задавались все без исключений…
[Groups.Soldiers.Sectarianism].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону, но командиры на местах всё меньше соблюдали субординацию. Ротация не помогала. СБУ докладывало о неком элементе сектантства среди командиров, но подробнее расследовать не получалось. Командиры умело заметали следы. На столько, что даже О-Сознание так и не было найдено, о котором говорилось в найденных документах…
[Groups.Soldiers.Stability].Text-End-Standart-Victory;Победа! Правительственные войска смогли взять под контроль всю территорию отчуждения и теперь стремительно наводят порядок. Были сформированы различные мелкие отряды из солдат специального назначения для операций в особо опасных условиях. Так называли подземные комплексы и лаборатории, которых на удивление генералов, оказалось в несколько раз больше, чем предполагалось изначально. Вся добытая информация стремительно засекречивалась и общественность знала о Зоне только, что говорило им правительство.
[Groups.Soldiers.Stalkers].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону. Оно решило не только бороться с Зоной, но и скрытно на ней подзаработать. Были сформированы несколько секретных отрядов военных сталкеров для поиска особо ценных артефактов, которые потом продавались на черном рынке за рубежом для обогащения некоторых из «верхов». Таким образом, впоследствии появились так называемые «артефактные олигархи»…
[Groups.Soldiers.Unknow].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Зону и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.Soldiers.Unknow].Text-End-Standart-Lose;Военных в Зоне не осталось... Теперь неизвестно чем всё кончится без правительственных сил. Вы разжалованы за провал! Поражение!
[Groups.Soldiers.Zombie].Text-End-Standart-Victory;Победа! Теперь О-Сознание в безопасности. Вскоре пси-излучение покрыло всю Зону благодаря увеличению числа излучателей. Даже Кордон стал опасен. Правительство хоть и не выпускало мутантов из Зоны, но больше не пыталось вернуть ее...
[Groups.Stalkers.:main].Spy1-Name;Новичок
[Groups.Stalkers.:main].Spy2-Name;Опытный
[Groups.Stalkers.:main].Spy3-Name;Ветеран
[Groups.Stalkers.:main].Spy4-Name;Мастер
[Groups.Stalkers.:main].Name;Одиночки
[Groups.Stalkers.:main].Description;Одиночки не имеют четкой иерархии и лидера. Преимуществом можно считать их предрасположенность к поиску артефактов, что благоприятно скажется на финансовом положении в умелых руках. Однако подконтрольные им территории разбросаны по локациям, что несет за собой большую сложность в плане их удержания. Группировке необходимо определиться с приоритетами в своем развитии.
[Groups.Stalkers.:main].DiplomacyText-Question-War;Мы объявляем вам войну!
[Groups.Stalkers.:main].DiplomacyText-Question-Neutral;Пора закончить эту бойню, мы готовы к миру, а Вы?
[Groups.Stalkers.:main].DiplomacyText-Question-Alliance;Мы хотим заключить с вами союз. Вы согласны?
[Groups.Stalkers.:main].DiplomacyText-Question-BreakAlliance;Мы расторгаем союз!
[Groups.Stalkers.:main].DiplomacyText-RequestMoney-Ask;У нас тут финансовые затруднения возникли. Нам бы помощь не помешала. Нас интересует сумма в таком вот размере:
