[Territories.Name].Zona1;Station Backyards
[Territories.Name].Zona77;Bus Stop
[Territories.Name].Zona78;Remote Checkpoint
[Territories.Name].Zona79;Southern Exit
[Territories.Name].Zona80;Road to Radar
[Territories.Name].Zona81;The Barrier
[Territories.Name].Zona82;Road to Checkpoint
[Territories.Name].Zona83;Crashed Helicopter
[Territories.Name].Zona84;Remote Farmstead
[Territories.Name].Zona85;Village East
[Territories.Name].Zona86;Fork
[Territories.Name].Zona87;Crooked Ravine
[Territories.Name].Zona88;Village West
[Territories.Name].Zona89;Camp by the Barrier
[Territories.Name].Zona90;The Swamp
[Territories.Name].Zona91;Crossroads
[Territories.Name].Zona92;Exit to Village
[Territories.Name].Zona93;Southern Farmstead
[Territories.Name].Zona94;South Checkpoint
[Territories.Name].Zona95;Warehouse Checkpoint
[Territories.Name].Zona96;Railway
[Territories.Name].Zona97;Depot
[Territories.Name].Zona98;Administration Building
[Territories.Name].Zona99;Hangars
[Territories.Name].Zona100;Northeastern Outskirts
[Territories.Name].Zona101;Western Complexes
[Territories.Name].Zona102;Backyard
[Territories.Name].Zona103;Plant Yard
[Territories.Name].Zona104;Plant Entrance
[Territories.Name].Zona105;Western Outskirts
[Territories.Name].Zona106;Hangar
[Territories.Name].Zona107;Hollow
[Territories.Name].Zona108;Small Courtyard
[Territories.Name].Zona109;Approaches to Plant
[Territories.Name].Zona110;Eastern Road
[Territories.Name].Zona111;Southwestern Outskirts
[Territories.Name].Zona112;The Swamp
[Territories.Name].Zona113;Approaches to Bunker
[Territories.Name].Zona114;Bunker
[Territories.Name].Zona115;Northern Anomaly Cluster
[Territories.Name].Zona116;Northeastern Outskirts
[Territories.Name].Zona117;Western Parking
[Territories.Name].Zona118;Hangar
[Territories.Name].Zona119;Western Entrance
[Territories.Name].Zona120;Gas Station
[Territories.Name].Zona121;Plant
[Territories.Name].Zona122;Eastern Canyon
[Territories.Name].Zona123;Western Canyon
[Territories.Name].Zona124;North Checkpoint
[Territories.Name].Zona125;Northern Trail
[Territories.Name].Zona129;The Swamp
[Territories.Name].Zona130;Flea Market
[Territories.Name].Zona131;Crater
[Territories.Name].Zona136;False Trail
[Territories.Name].Zona140;Crossroads
[Territories.Name].Zona142;Northern Transit Point
[Territories.Name].Zona159;Plant
[Territories.Name].Zona126;Dead Grove
[Territories.Name].Zona127;Camp by the Trail
[Territories.Name].Zona128;Old Factory
[Territories.Name].Zona132;Checkpoint by the Trail
[Territories.Name].Zona133;Northern Transit Point
[Territories.Name].Zona134;Hills
[Territories.Name].Zona135;Small Parking
[Territories.Name].Zona137;The Swamp
[Territories.Name].Zona138;Northern Outskirts
[Territories.Name].Zona139;Abandoned Camp
[Territories.Name].Zona144;Southeastern Outskirts
[Territories.Name].Zona149;Hidden Camp
[Territories.Name].Zona151;Southern Trail
[Territories.Name].Zona154;Northern Approaches to Research Institute
[Territories.Name].Zona155;Grimpen Mire
[Territories.Name].Zona157;Farm
[Territories.Name].Zona160;Fork
[Territories.Name].Zona164;Volchanka
[Territories.Name].Zona167;Upper Level
[Territories.Name].Zona169;Receiving Checkpoint
[Territories.Name].Zona170;Eastern Hills
[Territories.Name].Zona141;Southern Trail
[Territories.Name].Zona143;Canyon
[Territories.Name].Zona145;Locomotive
[Territories.Name].Zona146;Depot
[Territories.Name].Zona147;Northern Plateau
[Territories.Name].Zona148;Western Road
[Territories.Name].Zona150;Road by the Tunnel
[Territories.Name].Zona152;Tunnel
[Territories.Name].Zona153;Western Transit Point
[Territories.Name].Zona156;Camp on the Cliff
[Territories.Name].Zona158;Old Trail
[Territories.Name].Zona161;South Checkpoint
[Territories.Name].Zona162;East Checkpoint
[Territories.Name].Zona163;Abandoned Vehicles
[Territories.Name].Zona165;Upper Road
[Territories.Name].Zona166;Southern Outskirts
[Territories.Name].Zona168;Pipe Outlet
[Territories.Name].Zona171;Lower Road
[Territories.Name].Zona172;Central Plateau
[Territories.Name].Zona173;Northern Exit
[Territories.Name].Zona174;Passages in the Hills
[Territories.Name].Zona175;Hangars
[Territories.Name].Zona176;Research Institute
[Territories.Name].Zona177;Pipes
[Territories.Name].Zona178;Power Lines
[Territories.Name].Zona179;Southern Camp
[Territories.Name].Zona180;Remote Checkpoint
[Territories.Name].Zona181;Parking in the Hollow
[Territories.Name].Zona182;Shelter in the Rocks
[Territories.Name].Zona183;Camp in the Clearing
[Territories.Name].Zona184;Farmstead
[Territories.Name].Zona185;Freight Train
[Territories.Name].Zona187;Secret Shelter
[Territories.Name].Zona189;Farm
[Territories.Name].Zona190;Camp on the Slope
[Territories.Name].Zona191;Western Approaches to the Embankment
[Territories.Name].Zona196;Parking by the Truck
[Territories.Name].Zona199;Ruined Bridge
[Territories.Name].Zona200;Temporary Parking
[Territories.Name].Zona201;Approaches to Northern Farmstead
[Territories.Name].Zona208;Parking in the Pine Forest
[Territories.Name].Zona209;Eastern Outskirts
[Territories.Name].Zona212;Bridge
[Territories.Name].Zona214;Mechanic's Yard
[Territories.Name].Zona216;Tunnel
[Territories.Name].Zona217;Secret Camp
[Territories.Name].Zona218;Parking in the Swamp
[Territories.Name].Zona220;Temporary Camp
[Territories.Name].Zona221;Parking in the Wasteland
[Territories.Name].Zona226;Burned Farmstead
[Territories.Name].Zona229;Boat Camp
[Territories.Name].Zona234;Hills
[Territories.Name].Zona244;Fisherman's Farmstead
[Territories.Name].Zona186;Remote Parking
[Territories.Name].Zona188;Campfire in the Forest
[Territories.Name].Zona192;Eastern Approaches to the Embankment
[Territories.Name].Zona193;Northern Farmstead
[Territories.Name].Zona194;Boat Station
[Territories.Name].Zona195;Abandoned Train
[Territories.Name].Zona197;Parking in the Reeds
[Territories.Name].Zona198;Tunnel Under the Road
[Territories.Name].Zona202;Fissure
[Territories.Name].Zona204;Peninsulas
[Territories.Name].Zona205;Village Ruins
[Territories.Name].Zona206;Western Transit Point
[Territories.Name].Zona207;Grain Elevator
[Territories.Name].Zona210;Eastern Transit Point
[Territories.Name].Zona211;Depression
[Territories.Name].Zona213;Hill Behind the Motor Pool
[Territories.Name].Zona215;Motor Pool
[Territories.Name].Zona219;Trailer
[Territories.Name].Zona222;Barricades on the Shore
[Territories.Name].Zona223;Boulder Island
[Territories.Name].Zona224;Power Lines
[Territories.Name].Zona225;Village
[Territories.Name].Zona227;Pumping Station
[Territories.Name].Zona228;Tent Camp
[Territories.Name].Zona230;Outpost
[Territories.Name].Zona231;Remote Outpost
[Territories.Name].Zona232;Labyrinth of Islands
[Territories.Name].Zona233;Transit Point
[Territories.Name].Zona235;Central Transit Point
[Territories.Name].Zona236;Forks
[Territories.Name].Zona237;Southeastern Trails
[Territories.Name].Zona238;Reed Garden
[Territories.Name].Zona239;Church
[Territories.Name].Zona240;Tower
[Territories.Name].Zona241;Hidden Camp
[Territories.Name].Zona242;Southern Farmstead
[Territories.Name].Zona243;South Checkpoint
[Territories.Name].Zona245;Parking in the Thicket
[Territories.Name].Zona246;Abandoned Parking
[Territories.Name].Zona247;Forgotten Camp
[Territories.Name].Zona248;Hidden Base
[Territories.Name].Zona249;Southern Outskirts
[Territories.Name].Zona4;Northern Buildings
[Territories.Name].Zona35;Alley
[Territories.Name].Zona203;Temporary Camp
