[Common_Strings].StoryEventsLevelText;Доп. замы (рекомендуется):
[Achievements.Achiv-6].Desc;Получено новое достижение! Принять идеологию Наёмничество за группировку Группа Бродяги на уровне сложности Опытный или выше и продержаться 1 ход.
[Achievements.Achiv-6].Desc-Logo;Принять идеологию Наёмничество за группировку Группа Бродяги на уровне сложности Опытный или выше и продержаться 1 ход.
[Traders.World].Name;Внешний мир
[Traders.World].NeedText;Связь с внешним миром не всегда удается установить. Шанс 50%. Цена попытки установить связь:
[Traders.YourGroup].Name;Торговец вашей группировки
[Traders.YourGroup].NeedText;Вы всегда можете поторговать со своим торговцем. Цена:
[Traders.OtherGroup].Name;Торговец чужой группировки
[Traders.OtherGroup].NeedText;Чтобы торговать с чужими группировками сначала выберите на карте чужую территорию
[Traders.Trader1].Name;Борода
[Traders.Trader1].NeedText;Торговать с ним можно при условии контролирования территории Сталкерский Скадовск на Затоне. Цена:
[Traders.Trader2].Name;Сыч
[Traders.Trader2].NeedText;Торговать с ним можно при условии контролирования территории Сталкерский Скадовск на Затоне. Цена:
[Traders.Trader3].Name;Гаваец
[Traders.Trader3].NeedText;Торговать с ним можно при условии контролирования территории Сталкерский Янов на Юпитере. Цена:
[Traders.Trader4].Name;Шустрый
[Traders.Trader4].NeedText;Торговать с ним можно при условии контролирования территории Сталкерский Скадовск на Затоне. Цена:
ScenarioName;Период полураспада. Зов Припяти
ScenarioDescription;Сценарий без сюжетного наполнения, где группировки поделены в соответствии с лидерами на местах, а не общей составляющей. Нет каких-либо ограничений по времени. Победа достигается в случае захвата всей Зоны, а поражение при потере последней территории. Сценарий не каноничный, поэтому дипломатия далека от канона.
ScenarioVictoryDescription;Условия победы: захватить все территории на карте и удержать их 1 ход.
ScenarioLoseDescription;Условия поражения: потерять все подконтрольные территории.
[Groups.bandits.:main].Spy1-Name;Новичок
[Groups.bandits.:main].Spy2-Name;Опытный
[Groups.bandits.:main].Spy3-Name;Ветеран
[Groups.bandits.:main].Spy4-Name;Мастер
[Groups.bandits.:main].Name;Банда Султана
[Groups.bandits.:main].Description;Банда Султана ? одна из групп криминальной стороны Зоны. Имеют под своим контролем территории на Затоне. Не имеют достойного вооружения и большого числа умеющих воевать в своих рядах. Группировке необходимо провести реорганизацию, как во внутренних делах, так и во внешних, определиться с приоритетными территориями с которых начнётся захват.
[Groups.bandits.:main].DiplomacyText-Question-War;Ну, че фраер, допрыгался? Расчихляй валыну! Братва к тебе уже катит!
[Groups.bandits.:main].DiplomacyText-Question-Neutral;Э-э-э! Братела, не суетись, а? Пора перестать шмалять друг-друга, лады?
[Groups.bandits.:main].DiplomacyText-Question-Alliance;Э, Братела, давай союзничками будем? А? Там... шмалять вместе гавриков... Всё такое.. М? Лады?
[Groups.bandits.:main].DiplomacyText-Question-BreakAlliance;Не, ну ты фраер, ну ты конкретный лох, теперь дальше каждый сам за себя!
[Groups.bandits.:main].DiplomacyText-RequestMoney-Ask;Э, сышишь кореш, мелочи не подкинешь, а? Нам бы вот столько:
[Groups.bandits.:main].DiplomacyText-Ans-0-Down;Ты на кого батон крошишь? Бычара, ты труп, ты понял?!
[Groups.bandits.:main].DiplomacyText-Ans-1-Down;Ну ты это вообще не о чем, мля...
[Groups.bandits.:main].DiplomacyText-Ans-1-No;Найдем - на меха порежем!
[Groups.bandits.:main].DiplomacyText-Ans-1-Yes;Сышишь, мы тя не тронем, в натуре за базар отвечаю!
[Groups.bandits.:main].DiplomacyText-Ans-2-No;Не, не, это нифига не то, ты гонишь!
[Groups.bandits.:main].DiplomacyText-Ans-2-Yes;Держись, кореш, щас все будет пучком...
[Groups.bandits.:main].DiplomacyText-RequestMoney-Ans-No;Ты че головой ударился? Откуда у нас такое бабло! Нам самим не помешало бы...
[Groups.bandits.:main].DiplomacyText-RequestMoney-Ans-Yes;Братела, держи баблишко!
[Groups.bandits.:main].DiplomacyText-Question-Neutral-No;Братела, ты, конечно, это зря! Не надо было так...
[Groups.bandits.:main].DiplomacyText-Question-Neutral-Yes;А чо, братела, порадовал! Молодца...
[Groups.bandits.:main].DiplomacyText-Question-Alliance-No;Братела, ты, конечно, это зря! Не надо было так...
[Groups.bandits.:main].DiplomacyText-Question-Alliance-Yes;О, братела, отлично! Теперь вместе фраеров шмалять будем!
[Groups.bandits.:main].Text-End-Step-Victory;Вы выжили! Победа!
[Groups.bandits.:main].Text-End-EventFlag-Victory;Победа по ивент флагу!
[Groups.bandits.:main].Text-End-Standart-Lose;Группировка была полностью уничтожена, теперь Зону буду делить другие группировки. Поражение!
[Groups.bandits.:main].Text-End-Step-Lose;Время истекло, Вы не смогли добиться контроля над Зоной. Поражение!
[Groups.bandits.:main].Text-End-EventFlag-Lose;Поражение по ивент флагу!
[Groups.bandits.Anarchy].Text-End-Standart-Victory;Победа! Группировка вскоре всё меньше и меньше по своему поведению походила на то, чем являлась изначально. Да, криминал остался, но его стало меньше. Верхушка пыталась продвигать тему, которая была близка с тем, что пропагандировала группировка ?Свобода?, а низы, не торопились принимать эти новые идеалы, так как старые способы в виде грабежа и мародерства казались более простыми и понятными. Группировка раскалывалась прямо на глазах. Каждый новый день ? новое не подчинение приказов отдельными группами. Вот-вот начнётся новый конфликт в Зоне?
[Groups.bandits.AntiZone].Text-End-Standart-Victory;Победа! Группировка вскоре всё меньше и меньше по своему поведению походила на то, чем являлась изначально. Криминала стало значительно меньше. Верхушка продвигала всё больше и больше тему борьбы с Зоной. Да, многие понимали, что грабить теперь некого, кругом все свои и в принципе, были согласны, но поскольку в группировке были и настоящие уголовники, то образовались отдельные группы, которые грабили тех самых ?своих?. Кругом вспыхивали локальные бои. Зона снова оказалась в шаге от масштабной войны всех против всех?
[Groups.bandits.Control].Text-End-Standart-Victory;Победа! Группировка вскоре всё меньше и меньше по своему поведению походила на то, чем являлась изначально. Криминала стало значительно меньше. Вводилась жесткая иерархия. Ситуацию наиболее точно описывало название ?Штрафбат?. Среди участников группировки ходили слухи, что верхушка прогнулась под государственные силы. Многие приняли этот факт, но нашлись и те ?паханы? с ?буграми?, которые с таким порядком не были согласны. Назревал новый масштабный конфликт, но уже внутри группировки...
[Groups.bandits.Crime].Text-End-Standart-Victory;"Победа! Зона превратилась в криминальное квазигосударство. Зона стала жить ""по понятиям"". Вскоре грабить стало некого и группировка погрязла в распрях. Вместо того чтобы отстреливать монстров и добывать артефакты Бандиты стреляли друг в друга..."
[Groups.bandits.Crime].Text-End-Standart-Lose;Последний бандит поймал маслину. В Зоне больше нет места криминальному миру... Поражение!
[Groups.bandits.Crime].Text-End-Step-Lose;"Время истекло. Пацаны говорят, что ""бугор"" из тебя никакой... Поражение!"
[Groups.bandits.Exploring].Text-End-Standart-Victory;Победа! Группировка контролирует всю территорию. Грабить больше некого. Мародерствовать тоже вскоре будет негде? Верхушка уже активно переключается на выгодные контракты, идущие от правительства. В Зоне теперь часто можно встретить группы Ученых делающих свои замеры анимальной активности под чуткой охраной местных ?братков?. Вчерашние бандиты уже ходили и занимались тем, делом, что когда-то считали слишком грязным для себя ? искали артефакты, добывали части тел мутантов, делали какие-то не понятные замеры не менее не понятными приборами. Не всем это нравилось, поэтому находились отдельные группы людей, которые организовывали нападение на ?своих?. С ними старались активно бороться, но таких ?несогласных?, находилось всё больше и больше, так как далеко немногие нашли себя в новой реальности работы по изучению Зоны?
[Groups.bandits.Growth].Text-End-Standart-Victory;"Победа! Зона превратилась в криминальное квазигосударство. Зона стала жить ""по понятиям"". Вскоре грабить стало некого и группировка погрязла в распрях. Вместо того чтобы отстреливать монстров и добывать артефакты Бандиты стреляли друг в друга..."
[Groups.bandits.Growth].Text-End-Standart-Lose;Последний бандит поймал маслину. В Зоне больше нет места криминальному миру... Поражение!
[Groups.bandits.Growth].Text-End-Step-Lose;"Время истекло. Пацаны говорят, что ""бугор"" из тебя никакой... Поражение!"
[Groups.bandits.Mercenary].Text-End-Standart-Victory;Победа! Группировка контролирует всю территорию. Грабить больше некого. Мародерствовать тоже вскоре будет негде? Верхушка уже активно переключается на выгодные контракты, идущие с внешнего мира. Но акцент ставился на более криминальные контракты, поэтому Ученых в Зоне, которых охраняли местные бойцы, было практически не встретить, что значительно ограничило изучение Зоны. Правительство планировало предпринять несколько боевых операций, чтобы вернуть контроль над ключевыми объектами Зоны. Скоро снова будет ?Война в Зоне??
[Groups.bandits.Sectarianism].Text-End-Standart-Victory;Победа! Но не смотря на то, что группировка заняла все территории, так такого контроля над силами не было. Кругом царила неразбериха. Странные речи верхушки, странное поведения всех кто находился на севере Зоны, вновь вскоре включенные пси установки? Все это обеспокоило тех, кто находился на юге. Юг стал вооружаться и формировать собственную иерархию с командирами. Вот-вот начнётся новый этап ?Войны в Зоне??
[Groups.bandits.Stability].Text-End-Standart-Victory;Победа! Группировка контролирует всю территорию. Грабить больше некого. Мародерствовать тоже вскоре будет негде? Верхушка активно пытается найти новые способы обогащения. Бойцов начали разделять на подгруппы. Кого-то в поиски артефактов, кого-то на охоту за частями тел мутантов, третьих использовали как наёмников для выполнения внешних заказов. Но нашлись и те, кому не подходило что-либо из ?мирного? ремесла. Вскоре начались первые конфликты и последовавшие за ними бои. Внутреннюю иерархию группировки штормило и неизвестно чем всё закончится?
[Groups.bandits.Stalkers].Text-End-Standart-Victory;Победа! Группировка вскоре всё меньше и меньше по своему поведению походила на то, чем являлась изначально. Криминала действительно стало меньше. Платишь долю ? можешь ходить и добывать артефакты. Никто мешать не должен. А если кто-то и будет, то тех ребят найдут. Быстро найдут. Но если у них найдутся покровители в верхах, то отпустят словесно попугав. Поэтому в скорее внутри группировки образовались отдельные группы со своими лидерами, которые тянули группировку к вооруженному внутреннему конфликту?
[Groups.bandits.Unknow].Text-End-Standart-Victory;"Победа! Зона превратилась в криминальное квазигосударство. Зона стала жить ""по понятиям"". Вскоре грабить стало некого и группировка погрязла в распрях. Вместо того чтобы отстреливать монстров и добывать артефакты Бандиты стреляли друг в друга..."
[Groups.bandits.Unknow].Text-End-Standart-Lose;Последний бандит поймал маслину. В Зоне больше нет места криминальному миру... Поражение!
[Groups.bandits.Unknow].Text-End-Step-Lose;"Время истекло. Пацаны говорят, что ""бугор"" из тебя никакой... Поражение!"
[Groups.bandits.Zombie].Text-End-Standart-Victory;Победа! Теперь О-Сознание в безопасности. Вскоре пси-излучение покрыло всю Зону благодаря увеличению числа излучателей. Даже Кордон стал опасен. Правительство хоть и не выпускало мутантов из Зоны, но больше не пыталось вернуть ее...
[Groups.banditsKillers.:main].Spy1-Name;Новичок
[Groups.banditsKillers.:main].Spy2-Name;Опытный
[Groups.banditsKillers.:main].Spy3-Name;Ветеран
[Groups.banditsKillers.:main].Spy4-Name;Мастер
[Groups.banditsKillers.:main].Name;Банда Убийцы
[Groups.banditsKillers.:main].Description;Банда Убийцы ? одна из групп криминальной стороны Зоны. Имеют под своим контролем территорию Бандитский привал на локации Окрестности завода Юпитер. Не имеют достойного вооружения и большого числа умеющих воевать в своих рядах. Группировке необходимо провести реорганизацию, как во внутренних делах, так и во внешних, определиться с приоритетными территориями с которых начнётся захват.
[Groups.banditsKillers.:main].DiplomacyText-Question-War;Ну, че фраер, допрыгался? Расчихляй валыну! Братва к тебе уже катит!
[Groups.banditsKillers.:main].DiplomacyText-Question-Neutral;Э-э-э! Братела, не суетись, а? Пора перестать шмалять друг-друга, лады?
[Groups.banditsKillers.:main].DiplomacyText-Question-Alliance;Э, Братела, давай союзничками будем? А? Там... шмалять вместе гавриков... Всё такое.. М? Лады?
[Groups.banditsKillers.:main].DiplomacyText-Question-BreakAlliance;Не, ну ты фраер, ну ты конкретный лох, теперь дальше каждый сам за себя!
[Groups.banditsKillers.:main].DiplomacyText-RequestMoney-Ask;Э, сышишь кореш, мелочи не подкинешь, а? Нам бы вот столько:
[Groups.banditsKillers.:main].DiplomacyText-Ans-0-Down;Ты на кого батон крошишь? Бычара, ты труп, ты понял?!
[Groups.banditsKillers.:main].DiplomacyText-Ans-1-Down;Ну ты это вообще не о чем, мля...
[Groups.banditsKillers.:main].DiplomacyText-Ans-1-No;Найдем - на меха порежем!
[Groups.banditsKillers.:main].DiplomacyText-Ans-1-Yes;Сышишь, мы тя не тронем, в натуре за базар отвечаю!
[Groups.banditsKillers.:main].DiplomacyText-Ans-2-No;Не, не, это нифига не то, ты гонишь!
[Groups.banditsKillers.:main].DiplomacyText-Ans-2-Yes;Держись, кореш, щас все будет пучком...
[Groups.banditsKillers.:main].DiplomacyText-RequestMoney-Ans-No;Ты че головой ударился? Откуда у нас такое бабло! Нам самим не помешало бы...
[Groups.banditsKillers.:main].DiplomacyText-RequestMoney-Ans-Yes;Братела, держи баблишко!
[Groups.banditsKillers.:main].DiplomacyText-Question-Neutral-No;Братела, ты, конечно, это зря! Не надо было так...
[Groups.banditsKillers.:main].DiplomacyText-Question-Neutral-Yes;А чо, братела, порадовал! Молодца...
[Groups.banditsKillers.:main].DiplomacyText-Question-Alliance-No;Братела, ты, конечно, это зря! Не надо было так...
[Groups.banditsKillers.:main].DiplomacyText-Question-Alliance-Yes;О, братела, отлично! Теперь вместе фраеров шмалять будем!
[Groups.banditsKillers.:main].Text-End-Step-Victory;Вы выжили! Победа!
[Groups.banditsKillers.:main].Text-End-EventFlag-Victory;Победа по ивент флагу!
[Groups.banditsKillers.:main].Text-End-Standart-Lose;Группировка была полностью уничтожена, теперь Зону буду делить другие группировки. Поражение!
[Groups.banditsKillers.:main].Text-End-Step-Lose;Время истекло, Вы не смогли добиться контроля над Зоной. Поражение!
[Groups.banditsKillers.:main].Text-End-EventFlag-Lose;Поражение по ивент флагу!
[Groups.banditsKillers.Anarchy].Text-End-Standart-Victory;Победа! Группировка вскоре всё меньше и меньше по своему поведению походила на то, чем являлась изначально. Да, криминал остался, но его стало меньше. Верхушка пыталась продвигать тему, которая была близка с тем, что пропагандировала группировка ?Свобода?, а низы, не торопились принимать эти новые идеалы, так как старые способы в виде грабежа и мародерства казались более простыми и понятными. Группировка раскалывалась прямо на глазах. Каждый новый день ? новое не подчинение приказов отдельными группами. Вот-вот начнётся новый конфликт в Зоне?
[Groups.banditsKillers.AntiZone].Text-End-Standart-Victory;Победа! Группировка вскоре всё меньше и меньше по своему поведению походила на то, чем являлась изначально. Криминала стало значительно меньше. Верхушка продвигала всё больше и больше тему борьбы с Зоной. Да, многие понимали, что грабить теперь некого, кругом все свои и в принципе, были согласны, но поскольку в группировке были и настоящие уголовники, то образовались отдельные группы, которые грабили тех самых ?своих?. Кругом вспыхивали локальные бои. Зона снова оказалась в шаге от масштабной войны всех против всех?
[Groups.banditsKillers.Control].Text-End-Standart-Victory;Победа! Группировка вскоре всё меньше и меньше по своему поведению походила на то, чем являлась изначально. Криминала стало значительно меньше. Вводилась жесткая иерархия. Ситуацию наиболее точно описывало название ?Штрафбат?. Среди участников группировки ходили слухи, что верхушка прогнулась под государственные силы. Многие приняли этот факт, но нашлись и те ?паханы? с ?буграми?, которые с таким порядком не были согласны. Назревал новый масштабный конфликт, но уже внутри группировки...
[Groups.banditsKillers.Crime].Text-End-Standart-Victory;"Победа! Зона превратилась в криминальное квазигосударство. Зона стала жить ""по понятиям"". Вскоре грабить стало некого и группировка погрязла в распрях. Вместо того чтобы отстреливать монстров и добывать артефакты Бандиты стреляли друг в друга..."
[Groups.banditsKillers.Crime].Text-End-Standart-Lose;Последний бандит поймал маслину. В Зоне больше нет места криминальному миру... Поражение!
[Groups.banditsKillers.Crime].Text-End-Step-Lose;"Время истекло. Пацаны говорят, что ""бугор"" из тебя никакой... Поражение!"
[Groups.banditsKillers.Exploring].Text-End-Standart-Victory;Победа! Группировка контролирует всю территорию. Грабить больше некого. Мародерствовать тоже вскоре будет негде? Верхушка уже активно переключается на выгодные контракты, идущие от правительства. В Зоне теперь часто можно встретить группы Ученых делающих свои замеры анимальной активности под чуткой охраной местных ?братков?. Вчерашние бандиты уже ходили и занимались тем, делом, что когда-то считали слишком грязным для себя ? искали артефакты, добывали части тел мутантов, делали какие-то не понятные замеры не менее не понятными приборами. Не всем это нравилось, поэтому находились отдельные группы людей, которые организовывали нападение на ?своих?. С ними старались активно бороться, но таких ?несогласных?, находилось всё больше и больше, так как далеко немногие нашли себя в новой реальности работы по изучению Зоны?
[Groups.banditsKillers.Growth].Text-End-Standart-Victory;"Победа! Зона превратилась в криминальное квазигосударство. Зона стала жить ""по понятиям"". Вскоре грабить стало некого и группировка погрязла в распрях. Вместо того чтобы отстреливать монстров и добывать артефакты Бандиты стреляли друг в друга..."
[Groups.banditsKillers.Growth].Text-End-Standart-Lose;Последний бандит поймал маслину. В Зоне больше нет места криминальному миру... Поражение!
[Groups.banditsKillers.Growth].Text-End-Step-Lose;"Время истекло. Пацаны говорят, что ""бугор"" из тебя никакой... Поражение!"
[Groups.banditsKillers.Mercenary].Text-End-Standart-Victory;Победа! Группировка контролирует всю территорию. Грабить больше некого. Мародерствовать тоже вскоре будет негде? Верхушка уже активно переключается на выгодные контракты, идущие с внешнего мира. Но акцент ставился на более криминальные контракты, поэтому Ученых в Зоне, которых охраняли местные бойцы, было практически не встретить, что значительно ограничило изучение Зоны. Правительство планировало предпринять несколько боевых операций, чтобы вернуть контроль над ключевыми объектами Зоны. Скоро снова будет ?Война в Зоне??
[Groups.banditsKillers.Sectarianism].Text-End-Standart-Victory;Победа! Но не смотря на то, что группировка заняла все территории, так такого контроля над силами не было. Кругом царила неразбериха. Странные речи верхушки, странное поведения всех кто находился на севере Зоны, вновь вскоре включенные пси установки? Все это обеспокоило тех, кто находился на юге. Юг стал вооружаться и формировать собственную иерархию с командирами. Вот-вот начнётся новый этап ?Войны в Зоне??
[Groups.banditsKillers.Stability].Text-End-Standart-Victory;Победа! Группировка контролирует всю территорию. Грабить больше некого. Мародерствовать тоже вскоре будет негде? Верхушка активно пытается найти новые способы обогащения. Бойцов начали разделять на подгруппы. Кого-то в поиски артефактов, кого-то на охоту за частями тел мутантов, третьих использовали как наёмников для выполнения внешних заказов. Но нашлись и те, кому не подходило что-либо из ?мирного? ремесла. Вскоре начались первые конфликты и последовавшие за ними бои. Внутреннюю иерархию группировки штормило и неизвестно чем всё закончится?
[Groups.banditsKillers.Stalkers].Text-End-Standart-Victory;Победа! Группировка вскоре всё меньше и меньше по своему поведению походила на то, чем являлась изначально. Криминала действительно стало меньше. Платишь долю ? можешь ходить и добывать артефакты. Никто мешать не должен. А если кто-то и будет, то тех ребят найдут. Быстро найдут. Но если у них найдутся покровители в верхах, то отпустят словесно попугав. Поэтому в скорее внутри группировки образовались отдельные группы со своими лидерами, которые тянули группировку к вооруженному внутреннему конфликту?
