ScenarioName;Обрыв связи. Дополнительный контент
[StoryEvents.Event-Escape-ArmyMove-1].Name;Колонна движется!
[StoryEvents.Event-Escape-ArmyMove-1].Desc-Owner;Мимо ваших бойцов прошла колонна с техникой! Ваши бойцы смогли обеспечить безопасность колонны на территории %0:s на локации %1:s! Командование было довольно вашими успехами!
[StoryEvents.Event-Escape-ArmyMove-1].Desc-NonOwner;Колонна движется по безопасной территории! Её текущее местоположение - %0:s на локации %1:s! Если следующая территория на пути колонны будет контролироваться вами, то вы получите дополнительные ресурсы от штаба!
[StoryEvents.Event-Escape-ArmyAttack-1].Name;На колонну напали!
[StoryEvents.Event-Escape-ArmyAttack-1].Desc-NonOwner;На территории %0:s на локации %1:s колонна с техникой подтверглась нападению! Командование недвольно тем, что вы не обеспечили ее безопасность!
[StoryEvents.Event-Escape-ArmyMove-2].Name;Колонна движется!
[StoryEvents.Event-Escape-ArmyMove-2].Desc-Owner;Мимо ваших бойцов прошла колонна с техникой! Ваши бойцы смогли обеспечить безопасность колонны на территории %0:s на локации %1:s! Командование было довольно вашими успехами!
[StoryEvents.Event-Escape-ArmyMove-2].Desc-NonOwner;Колонна движется по безопасной территории! Её текущее местоположение - %0:s на локации %1:s! Если следующая территория на пути колонны будет контролироваться вами, то вы получите дополнительные ресурсы от штаба!
[StoryEvents.Event-Escape-ArmyAttack-2].Name;На колонну напали!
[StoryEvents.Event-Escape-ArmyAttack-2].Desc-NonOwner;На территории %0:s на локации %1:s колонна с техникой подтверглась нападению! Командование недвольно тем, что вы не обеспечили ее безопасность!
[StoryEvents.Event-Escape-ArmyMove-3].Name;Колонна движется!
[StoryEvents.Event-Escape-ArmyMove-3].Desc-Owner;Мимо ваших бойцов прошла колонна с техникой! Ваши бойцы смогли обеспечить безопасность колонны на территории %0:s на локации %1:s! Командование было довольно вашими успехами!
[StoryEvents.Event-Escape-ArmyMove-3].Desc-NonOwner;Колонна движется по безопасной территории! Её текущее местоположение - %0:s на локации %1:s! Если следующая территория на пути колонны будет контролироваться вами, то вы получите дополнительные ресурсы от штаба!
[StoryEvents.Event-Escape-ArmyAttack-3].Name;На колонну напали!
[StoryEvents.Event-Escape-ArmyAttack-3].Desc-NonOwner;На территории %0:s на локации %1:s колонна с техникой подтверглась нападению! Командование недвольно тем, что вы не обеспечили ее безопасность!
[StoryEvents.Event-Escape-ArmyMove-4].Name;Колонна движется!
[StoryEvents.Event-Escape-ArmyMove-4].Desc-Owner;Мимо ваших бойцов прошла колонна с техникой! Ваши бойцы смогли обеспечить безопасность колонны на территории %0:s на локации %1:s! Командование было довольно вашими успехами!
[StoryEvents.Event-Escape-ArmyMove-4].Desc-NonOwner;Колонна движется по безопасной территории! Её текущее местоположение - %0:s на локации %1:s! Если следующая территория на пути колонны будет контролироваться вами, то вы получите дополнительные ресурсы от штаба!
[StoryEvents.Event-Escape-ArmyAttack-4].Name;На колонну напали!
[StoryEvents.Event-Escape-ArmyAttack-4].Desc-NonOwner;На территории %0:s на локации %1:s колонна с техникой подтверглась нападению! Командование недвольно тем, что вы не обеспечили ее безопасность!
[StoryEvents.Event-Escape-ArmyMove-5].Name;Колонна движется!
[StoryEvents.Event-Escape-ArmyMove-5].Desc-Owner;Мимо ваших бойцов прошла колонна с техникой! Ваши бойцы смогли обеспечить безопасность колонны на территории %0:s на локации %1:s! Командование было довольно вашими успехами!
[StoryEvents.Event-Escape-ArmyMove-5].Desc-NonOwner;Колонна движется по безопасной территории! Её текущее местоположение - %0:s на локации %1:s! Если следующая территория на пути колонны будет контролироваться вами, то вы получите дополнительные ресурсы от штаба!
[StoryEvents.Event-Escape-ArmyAttack-5].Name;На колонну напали!
[StoryEvents.Event-Escape-ArmyAttack-5].Desc-NonOwner;На территории %0:s на локации %1:s колонна с техникой подтверглась нападению! Командование недвольно тем, что вы не обеспечили ее безопасность!
[StoryEvents.Event-Escape-ArmyMove-6].Name;Колонна движется!
[StoryEvents.Event-Escape-ArmyMove-6].Desc-Owner;Мимо ваших бойцов прошла колонна с техникой! Ваши бойцы смогли обеспечить безопасность колонны на территории %0:s на локации %1:s! Командование было довольно вашими успехами!
[StoryEvents.Event-Escape-ArmyMove-6].Desc-NonOwner;Колонна движется по безопасной территории! Её текущее местоположение - %0:s на локации %1:s! Если следующая территория на пути колонны будет контролироваться вами, то вы получите дополнительные ресурсы от штаба!
[StoryEvents.Event-Escape-ArmyAttack-6].Name;На колонну напали!
[StoryEvents.Event-Escape-ArmyAttack-6].Desc-NonOwner;На территории %0:s на локации %1:s колонна с техникой подтверглась нападению! Командование недвольно тем, что вы не обеспечили ее безопасность!
[StoryEvents.Event-Escape-ArmyMove-7].Name;Колонна движется!
[StoryEvents.Event-Escape-ArmyMove-7].Desc-Owner;Мимо ваших бойцов прошла колонна с техникой! Ваши бойцы смогли обеспечить безопасность колонны на территории %0:s на локации %1:s! Командование было довольно вашими успехами!
[StoryEvents.Event-Escape-ArmyMove-7].Desc-NonOwner;Колонна движется по безопасной территории! Её текущее местоположение - %0:s на локации %1:s! Если следующая территория на пути колонны будет контролироваться вами, то вы получите дополнительные ресурсы от штаба!
[StoryEvents.Event-Escape-ArmyAttack-7].Name;На колонну напали!
[StoryEvents.Event-Escape-ArmyAttack-7].Desc-NonOwner;На территории %0:s на локации %1:s колонна с техникой подтверглась нападению! Командование недвольно тем, что вы не обеспечили ее безопасность!
[StoryEvents.Event-Escape-ArmyMove-8].Name;Колонна движется!
[StoryEvents.Event-Escape-ArmyMove-8].Desc-Owner;Мимо ваших бойцов прошла колонна с техникой! Ваши бойцы смогли обеспечить безопасность колонны на территории %0:s на локации %1:s! Командование было довольно вашими успехами!
[StoryEvents.Event-Escape-ArmyMove-8].Desc-NonOwner;Колонна движется по безопасной территории! Её текущее местоположение - %0:s на локации %1:s!
[StoryEvents.Event-Escape-ArmyAttack-8].Name;На колонну напали!
[StoryEvents.Event-Escape-ArmyAttack-8].Desc-NonOwner;На территории %0:s на локации %1:s колонна с техникой подтверглась нападению! Командование недвольно тем, что вы не обеспечили ее безопасность!
