[Leaders.Leader-Krot].Name;Mole
[Groups.BanditsHunters.:main].Description;Trappers' Gang - a small Bandit group whose goal is to lure stalkers into traps to kill and rob them. Due to the small size of the group, survival chances are almost non-existent.
[Groups.Deserters.:main].Description;Deserters - military personnel who abandoned their posts for various reasons but remained in the Zone with highly uncertain prospects.
[Groups.StalkersLis.:main].Description;Fox's Group - a group with extremely doubtful survival chances. Based in the northern part of the Cordon.
[Groups.Zombie.:main].Description;Yantar Zombies - stalkers who fell under the emitter's influence at Yantar and became captives of the "Brain in a Jar".
[Groups.ZombieRadar.:main].Description;Radar Zombies - stalkers who fell under the emitter's influence at Radar and lost their minds due to the "Brain Scorcher".
[Groups.Crazy.:main].Description;The Madmen - those who say "I'm a fool and I have a certificate to prove it!"
[Groups.Mercenaries.:main].Description;Volkodav's Squad - a large Mercenary detachment led by Volkodav. Holds a key location at the Wild Territory, features strong fighters and a steady resource flow. Such a squad is unlikely to face obstacles in the early game.
[Advisors.Advisor-Mutants-1].Name;Unknown
[Advisors.Advisor-Stalkers-1].Name;Unknown
[Advisors.Advisor-StalkersLis-1].Name;Unknown
[Advisors.Advisor-StalkersBes-1].Name;Unknown
[Advisors.Advisor-StalkersSeriy-1].Name;Unknown
[Advisors.Advisor-StalkersKrot-1].Name;Unknown
[Advisors.Advisor-StalkersBar-1].Name;Unknown
[Advisors.Advisor-StalkersDV-1].Name;Unknown
[Advisors.Advisor-StalkersDiggers-1].Name;Unknown
[Advisors.Advisor-StalkersMilitary-1].Name;Unknown
[Advisors.Advisor-Bandits-1].Name;Unknown
[Advisors.Advisor-BanditsHunters-1].Name;Unknown
[Advisors.Advisor-BanditsKaban-1].Name;Unknown
[Advisors.Advisor-Soldiers-1].Name;Unknown
[Advisors.Advisor-Deserters-1].Name;Unknown
[Advisors.Advisor-Duty-1].Name;Unknown
[Advisors.Advisor-DutyCherep-1].Name;Unknown
[Advisors.Advisor-Freedom-1].Name;Unknown
[Advisors.Advisor-Monolith-1].Name;Unknown
[Advisors.Advisor-Mercenaries-1].Name;Unknown
[Advisors.Advisor-Patrol-1].Name;Unknown
[Advisors.Advisor-Scientists-1].Name;Unknown
[Advisors.Advisor-Zombie-1].Name;Unknown
[Advisors.Advisor-ZombieRadar-1].Name;Unknown
[Advisors.Advisor-Crazy-1].Name;Unknown
[Advisors.Advisor-Mutants-KolRazum].Name;Collective mind
[Advisors.Advisor-Stalkers-Shustriy].Name;Nimble
[Advisors.Advisor-Stalkers-Fanat].Name;Fanatic
[Advisors.Advisor-Stalkers-Tolik].Name;Tolik
[Advisors.Advisor-StalkersBes-Urik].Name;Yurik
[Advisors.Advisor-StalkersBes-Duplet].Name;Zheka Duplet
[Advisors.Advisor-StalkersBar-Demon].Name;Oleg "Fiend" Guasrov
[Advisors.Advisor-StalkersBar-Lelik].Name;Lyolik
[Advisors.Advisor-StalkersBar-Amir].Name;Amir the Scared
[Advisors.Advisor-StalkersBar-Alkash].Name;Dimon the Drunkard
[Advisors.Advisor-StalkersBar-Vorobey].Name;Sparrow
[Advisors.Advisor-StalkersBar-Lysiy].Name;Baldy
[Advisors.Advisor-StalkersBar-Hunter].Name;Hunter
[Advisors.Advisor-StalkersDV-Upir].Name;Vampire
[Advisors.Advisor-StalkersDV-Neumeha].Name;Clumsy
[Advisors.Advisor-StalkersBar-Arni].Name;Arnie
[Advisors.Advisor-StalkersMilitary-Diodor].Name;Father Diodor
[Advisors.Advisor-StalkersMilitary-Chuchelo].Name;Scarecrow
[Advisors.Advisor-StalkersMilitary-Master].Name;Master
[Advisors.Advisor-StalkersMilitary-Umnik].Name;Smartass
[Advisors.Advisor-StalkersLis-Provodnik].Name;Guide
[Advisors.Advisor-StalkersDiggers-Doctor].Name;Doctor
[Advisors.Advisor-StalkersDiggers-Krisolov].Name;Ratcatcher
[Advisors.Advisor-StalkersSeriy-Black].Name;Fedka the Black
[Advisors.Advisor-StalkersSeriy-Prohodchik].Name;Karim Prokhodchik
[Advisors.Advisor-Bandits-Fraer].Name;Friar
[Advisors.Advisor-Bandits-Kocherga].Name;Poker
[Advisors.Advisor-Bandits-Babtist].Name;Baptist
[Advisors.Advisor-Bandits-Chugun].Name;Cast Iron
[Advisors.Advisor-BanditsKaban-LusCor].Name;LusCor
[Advisors.Advisor-BanditsHunters-Mitya].Name;Mitya Dandruff
[Advisors.Advisor-Soldiers-Kuznecov].Name;Major Kuznetsov
[Advisors.Advisor-Soldiers-Capitan].Name;Captain
[Advisors.Advisor-Soldiers-Chuguykin].Name;Lieutenant Chuguykin
[Advisors.Advisor-Soldiers-Specialist].Name;Specialist
[Advisors.Advisor-Soldiers-Poproshayko].Name;Major Poproshaiko
[Advisors.Advisor-Deserters-Sokolov].Name;Alex "Sokol" Sokolov
[Advisors.Advisor-Deserters-Steck].Name;Stack
[Advisors.Advisor-Duty-Petrenko].Name;Colonel Petrenko
[Advisors.Advisor-Duty-Ivancov].Name;Captain Ivantsov
[Advisors.Advisor-Duty-Plichko].Name;Sergeant Plichko
[Advisors.Advisor-Duty-Kizenko].Name;Sergeant Kitsenko
[Advisors.Advisor-Duty-Prapor].Name;Warrant Officer
[Advisors.Advisor-Duty-Lohmatiy].Name;Shaggy Sergei
[Advisors.Advisor-Duty-Barin].Name;Barin
[Advisors.Advisor-Duty-Pulya].Name;Bullet
[Advisors.Advisor-Duty-Brom].Name;Brome
[Advisors.Advisor-DutyCherep-Second].Name;"Second"
[Advisors.Advisor-DutyCherep-Sixth].Name;"Sixth"
[Advisors.Advisor-Freedom-Ugrumiy].Name;Murk
[Advisors.Advisor-Freedom-Kep].Name;Cap
[Advisors.Advisor-Freedom-Skryaga].Name;Skinflint
[Advisors.Advisor-Freedom-Max].Name;Max
[Advisors.Advisor-Freedom-Povar].Name;Chef
[Advisors.Advisor-Freedom-Pavlik].Name;Pavlik
[Advisors.Advisor-Monolith-Propovednik].Name;Preacher
[Advisors.Advisor-Monolith-Molitvennik].Name;Devotee
[Advisors.Advisor-Monolith-Messiya].Name;Messiah
[Advisors.Advisor-Mercenaries-Tancpol].Name;Vitya Dancefloor
[Advisors.Advisor-Mercenaries-Avtobus].Name;Lyokha Bus
[Advisors.Advisor-Mercenaries-Rzhaviy].Name;Valera Rusty
[Advisors.Advisor-Mercenaries-Shtirlic].Name;Tolyan Stirlitz
[Advisors.Advisor-Mercenaries-Dollar].Name;Ivan "One Dollar"
[Advisors.Advisor-Mercenaries-Plintus].Name;Timur Plintus
[Advisors.Advisor-Patrol-Courier].Name;Petka Courier
[Advisors.Advisor-Scientists-Kruglov].Name;Professor Kruglov
[Advisors.Advisor-Scientists-Nachalnik].Name;Head of security
[Advisors.Advisor-Scientists-Semenov].Name;Semenov
[Advisors.Advisor-Scientists-Zob].Name;Zob
[Advisors.Advisor-Crazy-Zver].Name;Beast
[Advisors.Advisor-Zombie-Kontroler].Name;Controller
[Advisors.Advisor-ZombieRadar-Vidra].Name;Otter
[Achievements.Achiv-1].Name;Utopia!
[Achievements.Achiv-1].Desc;New achievement unlocked! Capture the entire Zone playing as the Loners faction on any difficulty.
[Achievements.Achiv-1].Desc-Logo;Capture the entire Zone playing as the Loners faction on any difficulty.
[Achievements.Achiv-2].Name;Autumn Gloom!
[Achievements.Achiv-2].Desc;New achievement unlocked! Capture the entire Zone playing as Gray's Group on Experienced difficulty or higher.
[Achievements.Achiv-2].Desc-Logo;Capture the entire Zone playing as Gray's Group on Experienced difficulty or higher.
[Achievements.Achiv-3].Name;Underground Operations!
[Achievements.Achiv-3].Desc;New achievement unlocked! Capture the Catacombs (Monolith Control Bunker), Lab X-10, Lab X-16, Lab X-18, and Agroprom Research Institute Underground territories playing as the Diggers faction on Veteran difficulty or higher.
[Achievements.Achiv-3].Desc-Logo;Capture the Catacombs (Monolith Control Bunker), Lab X-10, Lab X-16, Lab X-18, and Agroprom Research Institute Underground territories playing as the Diggers faction on Veteran difficulty or higher.
[Achievements.Achiv-4].Name;Where Are We Going?
[Achievements.Achiv-4].Desc;New achievement unlocked! Capture the Cordon, Garbage, and Dark Valley locations playing as Boar's Gang on Master difficulty.
[Achievements.Achiv-4].Desc-Logo;Capture the Cordon, Garbage, and Dark Valley locations playing as Boar's Gang on Master difficulty.
[Achievements.Achiv-5].Name;Return Journey!
[Achievements.Achiv-5].Desc;New achievement unlocked! Adopt the Anti-Zone ideology playing as Skull's Group and survive for 1 turn within the first 5 turns of the scenario.
[Achievements.Achiv-5].Desc-Logo;Adopt the Anti-Zone ideology playing as Skull's Group and survive for 1 turn within the first 5 turns of the scenario.
[Achievements.Achiv-6].Name;Too Many Action Movies!
[Achievements.Achiv-6].Desc;New achievement unlocked! Adopt the Mercenary ideology playing as Wolf's Group on Master difficulty and survive for 1 turn within the first 15 turns of the scenario.
[Achievements.Achiv-6].Desc-Logo;Adopt the Mercenary ideology playing as Wolf's Group on Master difficulty and survive for 1 turn within the first 15 turns of the scenario.
[Traders.World].Name;Outside World
[Traders.World].NeedText;Contact with the Outside World cannot always be established. Chance: 50%. Cost per connection attempt:
[Traders.YourGroup].Name;Your Faction Trader
[Traders.YourGroup].NeedText;You can always trade with your faction trader. Cost:
[Traders.OtherGroup].Name;Enemy Faction Trader
[Traders.OtherGroup].NeedText;To trade with other factions, first select an enemy territory on the map.
[Traders.Trader1].Name;Sidorovich
[Traders.Trader1].NeedText;Trading with him is possible only if you control the Novice Village territory on the Cordon. Cost:
[Traders.Trader2].Name;Barman
[Traders.Trader2].NeedText;Barman will be available for trading only if you control the 100 Rads Bar territory. Cost:
[Traders.Trader3].Name;Sakharov
[Traders.Trader3].NeedText;Sakharov is available only if you control the Bunker territory on the Yantar location. Cost:
ScenarioName;Half-Life Period. Shadow of Chernobyl
ScenarioDescription;A scenario without a storyline, where factions are divided according to local leaders rather than a unified structure. There are no time limits. Victory is achieved by capturing the entire Zone; defeat occurs upon losing your last territory. The scenario is non-canonical, so diplomacy diverges significantly from canon.
[Groups.BanditsKaban.:main].Spy1-Name;Novice
[Groups.BanditsKaban.:main].Spy2-Name;Experienced
[Groups.BanditsKaban.:main].Spy3-Name;Veteran
[Groups.BanditsKaban.:main].Spy4-Name;Master
[Groups.BanditsHunters.:main].Spy1-Name;Novice
[Groups.BanditsHunters.:main].Spy2-Name;Experienced
[Groups.BanditsHunters.:main].Spy3-Name;Veteran
[Groups.BanditsHunters.:main].Spy4-Name;Master
[Groups.DutyCherep.:main].Spy1-Name;Novice
[Groups.DutyCherep.:main].Spy2-Name;Experienced
[Groups.DutyCherep.:main].Spy3-Name;Veteran
[Groups.DutyCherep.:main].Spy4-Name;Master
[Groups.Patrol.:main].Spy1-Name;Novice
[Groups.Patrol.:main].Spy2-Name;Experienced
[Groups.Patrol.:main].Spy3-Name;Veteran
[Groups.Patrol.:main].Spy4-Name;Master
[Groups.Crazy.:main].Spy1-Name;Novice
[Groups.Crazy.:main].Spy2-Name;Experienced
[Groups.Crazy.:main].Spy3-Name;Veteran
[Groups.Crazy.:main].Spy4-Name;Master
[Groups.Deserters.:main].Spy1-Name;Novice
[Groups.Deserters.:main].Spy2-Name;Experienced
[Groups.Deserters.:main].Spy3-Name;Veteran
[Groups.Deserters.:main].Spy4-Name;Master
[Groups.ZombieRadar.:main].Spy1-Name;Novice
[Groups.ZombieRadar.:main].Spy2-Name;Experienced
[Groups.ZombieRadar.:main].Spy3-Name;Veteran
[Groups.ZombieRadar.:main].Spy4-Name;Master
[Groups.StalkersLis.:main].Spy1-Name;Novice
[Groups.StalkersLis.:main].Spy2-Name;Experienced
[Groups.StalkersLis.:main].Spy3-Name;Veteran
[Groups.StalkersLis.:main].Spy4-Name;Master
[Groups.StalkersBes.:main].Spy1-Name;Novice
[Groups.StalkersBes.:main].Spy2-Name;Experienced
[Groups.StalkersBes.:main].Spy3-Name;Veteran
[Groups.StalkersBes.:main].Spy4-Name;Master
[Groups.StalkersSeriy.:main].Spy1-Name;Novice
[Groups.StalkersSeriy.:main].Spy2-Name;Experienced
[Groups.StalkersSeriy.:main].Spy3-Name;Veteran
[Groups.StalkersSeriy.:main].Spy4-Name;Master
[Groups.StalkersDiggers.:main].Spy1-Name;Novice
[Groups.StalkersDiggers.:main].Spy2-Name;Experienced
[Groups.StalkersDiggers.:main].Spy3-Name;Veteran
[Groups.StalkersDiggers.:main].Spy4-Name;Master
[Groups.StalkersDV.:main].Spy1-Name;Novice
[Groups.StalkersDV.:main].Spy2-Name;Experienced
[Groups.StalkersDV.:main].Spy3-Name;Veteran
[Groups.StalkersDV.:main].Spy4-Name;Master
[Groups.StalkersBar.:main].Spy1-Name;Novice
[Groups.StalkersBar.:main].Spy2-Name;Experienced
[Groups.StalkersBar.:main].Spy3-Name;Veteran
[Groups.StalkersBar.:main].Spy4-Name;Master
[Groups.StalkersMilitary.:main].Spy1-Name;Novice
[Groups.StalkersMilitary.:main].Spy2-Name;Experienced
[Groups.StalkersMilitary.:main].Spy3-Name;Veteran
[Groups.StalkersMilitary.:main].Spy4-Name;Master
[Groups.BanditsKaban.:main].DiplomacyText-Question-War;Well, sucker, had your fun? Time to face the music! The boys are comin' for ya!
[Groups.BanditsKaban.:main].DiplomacyText-Question-Neutral;Hey-hey! Bro, chill out, yeah? Time to stop shootin' at each other, capiche?
[Groups.BanditsKaban.:main].DiplomacyText-Question-Alliance;Hey, Bro, how 'bout we team up, yeah? Y'know... shoot some guys together... and all that. Whaddya say? Deal?
[Groups.BanditsKaban.:main].DiplomacyText-Question-BreakAlliance;Nah, man, you're a real sucker, a total loser. From now on, everyone's on their own!
[Groups.BanditsKaban.:main].DiplomacyText-RequestMoney-Ask;Hey, listen up, pal, got any spare change, yeah? We could use about this much:
[Groups.BanditsKaban.:main].DiplomacyText-Ans-0-Down;Who do you think you're messin' with, tough guy? You're dead meat, ya hear?!
[Groups.BanditsKaban.:main].DiplomacyText-Ans-1-Down;Well, that's just... wow, man...
[Groups.BanditsKaban.:main].DiplomacyText-Ans-1-No;We'll find some – and cut it into strips!
[Groups.BanditsKaban.:main].DiplomacyText-Ans-1-Yes;Listen, we won't touch ya, word is bond, for real!
[Groups.BanditsKaban.:main].DiplomacyText-Ans-2-No;Nah, nah, that's totally not it, you're bluffing!
[Groups.BanditsKaban.:main].DiplomacyText-Ans-2-Yes;Hang tight, bro, everything's gonna be smooth real soon...
[Groups.BanditsKaban.:main].DiplomacyText-RequestMoney-Ans-No;Did you hit your head or somethin'? Where would we get that kind of cash! We could use some ourselves...
[Groups.BanditsKaban.:main].DiplomacyText-RequestMoney-Ans-Yes;Bro, here's the dough!
[Groups.BanditsKaban.:main].DiplomacyText-Question-Neutral-No;Bro, that was really uncalled for! Shouldn't have done that...
[Groups.BanditsKaban.:main].DiplomacyText-Question-Neutral-Yes;Hey, bro, that's what I'm talkin' about! Good job...
[Groups.BanditsKaban.:main].DiplomacyText-Question-Alliance-No;Bro, that was really uncalled for! Shouldn't have done that...
[Groups.BanditsKaban.:main].DiplomacyText-Question-Alliance-Yes;Oh, bro, excellent! Now we'll be shootin' suckers together!
[Groups.BanditsKaban.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.BanditsKaban.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.BanditsKaban.:main].Text-End-Standart-Lose;The faction has been completely wiped out. Now other factions will divide the Zone among themselves. Defeat!
[Groups.BanditsKaban.:main].Text-End-Step-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.BanditsKaban.:main].Text-End-EventFlag-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.BanditsHunters.:main].DiplomacyText-Question-War;Well, sucker, had your fun? Time to face the music! The boys are comin' for ya!
[Groups.BanditsHunters.:main].DiplomacyText-Question-Neutral;Hey-hey! Bro, chill out, yeah? Time to stop shootin' at each other, capiche?
[Groups.BanditsHunters.:main].DiplomacyText-Question-Alliance;Hey, Bro, how 'bout we team up, yeah? Y'know... shoot some guys together... and all that. Whaddya say? Deal?
[Groups.BanditsHunters.:main].DiplomacyText-Question-BreakAlliance;Nah, man, you're a real sucker, a total loser. From now on, everyone's on their own!
[Groups.BanditsHunters.:main].DiplomacyText-RequestMoney-Ask;Hey, listen up, pal, got any spare change, yeah? We could use about this much:
[Groups.BanditsHunters.:main].DiplomacyText-Ans-0-Down;Who do you think you're messin' with, tough guy? You're dead meat, ya hear?!
[Groups.BanditsHunters.:main].DiplomacyText-Ans-1-Down;Well, that's just... wow, man...
[Groups.BanditsHunters.:main].DiplomacyText-Ans-1-No;We'll find some – and cut it into strips!
[Groups.BanditsHunters.:main].DiplomacyText-Ans-1-Yes;Listen, we won't touch ya, word is bond, for real!
[Groups.BanditsHunters.:main].DiplomacyText-Ans-2-No;Nah, nah, that's totally not it, you're bluffing!
[Groups.BanditsHunters.:main].DiplomacyText-Ans-2-Yes;Hang tight, bro, everything's gonna be smooth real soon...
[Groups.BanditsHunters.:main].DiplomacyText-RequestMoney-Ans-No;Did you hit your head or somethin'? Where would we get that kind of cash! We could use some ourselves...
[Groups.BanditsHunters.:main].DiplomacyText-RequestMoney-Ans-Yes;Bro, here's the dough!
[Groups.BanditsHunters.:main].DiplomacyText-Question-Neutral-No;Bro, that was really uncalled for! Shouldn't have done that...
[Groups.BanditsHunters.:main].DiplomacyText-Question-Neutral-Yes;Hey, bro, that's what I'm talkin' about! Good job...
[Groups.BanditsHunters.:main].DiplomacyText-Question-Alliance-No;Bro, that was really uncalled for! Shouldn't have done that...
[Groups.BanditsHunters.:main].DiplomacyText-Question-Alliance-Yes;Oh, bro, excellent! Now we'll be shootin' suckers together!
[Groups.BanditsHunters.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.BanditsHunters.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.BanditsHunters.:main].Text-End-Standart-Lose;The faction has been completely wiped out. Now other factions will divide the Zone among themselves. Defeat!
[Groups.BanditsHunters.:main].Text-End-Step-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.BanditsHunters.:main].Text-End-EventFlag-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.DutyCherep.:main].DiplomacyText-Question-War;You and your gang are a threat to the world. Time to deal with you!
[Groups.DutyCherep.:main].DiplomacyText-Question-Neutral;We want to establish a ceasefire with you. Do you agree?
[Groups.DutyCherep.:main].DiplomacyText-Question-Alliance;We propose an alliance. Together we could carry out a couple of operations against our enemies. Do you agree?
[Groups.DutyCherep.:main].DiplomacyText-Question-BreakAlliance;We will no longer cooperate!
[Groups.DutyCherep.:main].DiplomacyText-RequestMoney-Ask;Got any spare funds? Times are tough for us. We could use about this much:
[Groups.DutyCherep.:main].DiplomacyText-Ans-0-Down;Understood. We'll cleanse the Zone of you too!
[Groups.DutyCherep.:main].DiplomacyText-Ans-1-Down;Pity... but if you insist, so be it.
[Groups.DutyCherep.:main].DiplomacyText-Ans-1-No;No, we definitely won't go for that right now.
[Groups.DutyCherep.:main].DiplomacyText-Ans-1-Yes;We hope for further cooperation.
[Groups.DutyCherep.:main].DiplomacyText-Ans-2-No;No, we definitely won't go for that right now.
[Groups.DutyCherep.:main].DiplomacyText-Ans-2-Yes;Ri-i-ight, excellent, we have a deal!
[Groups.DutyCherep.:main].DiplomacyText-RequestMoney-Ans-No;No, we cannot help at the moment.
[Groups.DutyCherep.:main].DiplomacyText-RequestMoney-Ans-Yes;Very well, we will help you.
[Groups.DutyCherep.:main].DiplomacyText-Question-Neutral-No;Oh, what a shame you refused!
[Groups.DutyCherep.:main].DiplomacyText-Question-Neutral-Yes;Good, that's encouraging!
[Groups.DutyCherep.:main].DiplomacyText-Question-Alliance-No;Oh, what a shame you refused!
[Groups.DutyCherep.:main].DiplomacyText-Question-Alliance-Yes;Good, that's encouraging!
[Groups.DutyCherep.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.DutyCherep.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.DutyCherep.:main].Text-End-Standart-Lose;The faction has been completely wiped out. Now other factions will divide the Zone among themselves. Defeat!
[Groups.DutyCherep.:main].Text-End-Step-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.DutyCherep.:main].Text-End-EventFlag-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.Patrol.:main].DiplomacyText-Question-War;A contract has been issued for you. Nothing personal. Just business.
[Groups.Patrol.:main].DiplomacyText-Question-Neutral;This war benefits neither of us. How about peace?
[Groups.Patrol.:main].DiplomacyText-Question-Alliance;Closer cooperation with you would be advantageous for us. Do you agree?
[Groups.Patrol.:main].DiplomacyText-Question-BreakAlliance;We will no longer cooperate with you.
[Groups.Patrol.:main].DiplomacyText-RequestMoney-Ask;We've had a couple of hiccups with certain contracts. We could use some financial assistance in the amount of:
[Groups.Patrol.:main].DiplomacyText-Ans-0-Down;We won't be doing any more business with you!
[Groups.Patrol.:main].DiplomacyText-Ans-1-Down;Pity. You're missing out on your profit.
[Groups.Patrol.:main].DiplomacyText-Ans-1-No;That's not advantageous for us right now.
[Groups.Patrol.:main].DiplomacyText-Ans-1-Yes;Very well. We hope for a mutually beneficial partnership.
[Groups.Patrol.:main].DiplomacyText-Ans-2-No;That's not advantageous for us at the moment.
[Groups.Patrol.:main].DiplomacyText-Ans-2-Yes;Okay, that works for us.
[Groups.Patrol.:main].DiplomacyText-RequestMoney-Ans-No;We don't have many contract bonuses right now, so we can't help.
[Groups.Patrol.:main].DiplomacyText-RequestMoney-Ans-Yes;Alright, transferred.
[Groups.Patrol.:main].DiplomacyText-Question-Neutral-No;Refused? Fine then.
[Groups.Patrol.:main].DiplomacyText-Question-Neutral-Yes;Excellent, glad you agreed!
[Groups.Patrol.:main].DiplomacyText-Question-Alliance-No;Refused? Fine then.
[Groups.Patrol.:main].DiplomacyText-Question-Alliance-Yes;Excellent, glad you agreed!
[Groups.Patrol.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.Patrol.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.Patrol.:main].Text-End-Standart-Lose;The faction has been completely wiped out. Now other factions will divide the Zone among themselves. Defeat!
[Groups.Patrol.:main].Text-End-Step-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.Patrol.:main].Text-End-EventFlag-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.StalkersLis.:main].DiplomacyText-Question-War;We declare war on you!
[Groups.StalkersLis.:main].DiplomacyText-Question-Neutral;Time to end this bloodshed. We're ready for peace. Are you?
[Groups.StalkersLis.:main].DiplomacyText-Question-Alliance;We wish to form an alliance with you. Do you agree?
[Groups.StalkersLis.:main].DiplomacyText-Question-BreakAlliance;We are terminating the alliance!
[Groups.StalkersLis.:main].DiplomacyText-RequestMoney-Ask;We've hit some financial difficulties. Could use some help. We're looking for a sum like this:
[Groups.StalkersLis.:main].DiplomacyText-Ans-0-Down;You backstabbing rat! War it is, then!
[Groups.StalkersLis.:main].DiplomacyText-Ans-1-Down;So be it.
[Groups.StalkersLis.:main].DiplomacyText-Ans-1-No;We see no necessity for that at the moment.
[Groups.StalkersLis.:main].DiplomacyText-Ans-1-Yes;Yes, we agree to a ceasefire.
[Groups.StalkersLis.:main].DiplomacyText-Ans-2-No;We are not sure this is needed right now.
[Groups.StalkersLis.:main].DiplomacyText-Ans-2-Yes;Yes, we agree to cooperate.
[Groups.StalkersLis.:main].DiplomacyText-RequestMoney-Ans-No;Regrettably, we are not in a position to provide that amount at this time.
[Groups.StalkersLis.:main].DiplomacyText-RequestMoney-Ans-Yes;Alright, we will transfer that sum to you.
[Groups.StalkersLis.:main].DiplomacyText-Question-Neutral-No;It's a shame you refused!
[Groups.StalkersLis.:main].DiplomacyText-Question-Neutral-Yes;Good! We're glad you agreed!
[Groups.StalkersLis.:main].DiplomacyText-Question-Alliance-No;It's a shame you refused!
[Groups.StalkersLis.:main].DiplomacyText-Question-Alliance-Yes;Good! We're glad you agreed!
[Groups.StalkersLis.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.StalkersLis.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.StalkersLis.:main].Text-End-Standart-Lose;The faction has been completely wiped out. Now other factions will divide the Zone among themselves. Defeat!
[Groups.StalkersLis.:main].Text-End-Step-Lose;Time's up. You failed to gain control over the Zone. Defeat!
